"artifact_type","name","path","files","size_mb","size_gb","recommended_upload"
"dataset_dir","dataset1_rich_v2_dst_rendered_supervision","datasets/dataset1_rich_v2_dst_rendered_supervision","15946","1431.74","1.398","Release/DVC/Hugging Face/external storage"
"dataset_dir","dataset2_geometry_graph_optimized","datasets/dataset2_geometry_graph_optimized","12115","2185.35","2.134","Release/DVC/Hugging Face/external storage"
"dataset_dir","dataset3_collection_20260512_geometry_graph","datasets/dataset3_collection_20260512_geometry_graph","21433","7916.11","7.731","Release/DVC/Hugging Face/external storage"
"dataset_dir","dataset4_multiformat_all_geometry_graph","datasets/dataset4_multiformat_all_geometry_graph","37934","10915.16","10.659","Release/DVC/Hugging Face/external storage"
"dataset_dir","dataset4_multiformat_all_rendered_supervision","datasets/dataset4_multiformat_all_rendered_supervision","26925","4769.28","4.658","Release/DVC/Hugging Face/external storage"
"dataset_dir","dataset4_multiformat_all_rich_v2","datasets/dataset4_multiformat_all_rich_v2","80885","10405.94","10.162","Release/DVC/Hugging Face/external storage"
"dataset_dir","dataset4_multiformat_rendered_supervision","datasets/dataset4_multiformat_rendered_supervision","5005","887.28","0.866","Release/DVC/Hugging Face/external storage"
"dataset_dir","embroideres_free_1_raw_public_manifest","datasets/embroideres_free_1_raw_public_manifest","16","0.61","0.001","Release/DVC/Hugging Face/external storage"
"model_dir","model1_structural_7ch","models/model1_structural_7ch","5","14.86","0.015","Git LFS or GitHub Release"
"model_dir","model10_vector_continuity_e20_continued_20260513","models/model10_vector_continuity_e20_continued_20260513","11","16.72","0.016","Git LFS or GitHub Release"
"model_dir","model10_vector_continuity_e8_20260513","models/model10_vector_continuity_e8_20260513","11","16.71","0.016","Git LFS or GitHub Release"
"model_dir","model12_continuity_only_e16_20260513","models/model12_continuity_only_e16_20260513","11","16.67","0.016","Git LFS or GitHub Release"
"model_dir","model12B_shallow_decoder_continuity_e10_20260513","models/model12B_shallow_decoder_continuity_e10_20260513","11","16.66","0.016","Git LFS or GitHub Release"
"model_dir","model13_debug_compat","models/model13_debug_compat","0","0","0","Git LFS or GitHub Release"
"model_dir","model13_multiformat_all_vector_continuity_20260514","models/model13_multiformat_all_vector_continuity_20260514","21","33.49","0.033","Git LFS or GitHub Release"
"model_dir","model14_rank_stitchtype_continuity_20260514","models/model14_rank_stitchtype_continuity_20260514","4","7.57","0.007","Git LFS or GitHub Release"
"model_dir","model14B_gentle_continue_geometry_20260514","models/model14B_gentle_continue_geometry_20260514","21","33.23","0.032","Git LFS or GitHub Release"
"model_dir","model2_planner_11ch_latest","models/model2_planner_11ch_latest","5","14.91","0.015","Git LFS or GitHub Release"
"model_dir","model3_geometry_graph_13ch_e10_BEST","models/model3_geometry_graph_13ch_e10_BEST","15","18.38","0.018","Git LFS or GitHub Release"
"model_dir","model3_gpu_geometry_graph_13ch_e20_BEST","models/model3_gpu_geometry_graph_13ch_e20_BEST","15","18.45","0.018","Git LFS or GitHub Release"
"model_dir","model4_conservative_finetune_e2_BEST","models/model4_conservative_finetune_e2_BEST","6","9.04","0.009","Git LFS or GitHub Release"
"model_dir","model5_path_order_probe_e2_BEST","models/model5_path_order_probe_e2_BEST","6","9.32","0.009","Git LFS or GitHub Release"
"model_dir","model6_collection_path_order_e5_BEST","models/model6_collection_path_order_e5_BEST","10","11.29","0.011","Git LFS or GitHub Release"
"model_dir","model7_geometry_planner_frozen_e8_BEST","models/model7_geometry_planner_frozen_e8_BEST","3","7.51","0.007","Git LFS or GitHub Release"
"model_dir","model8_joint_segment_e20_BEST","models/model8_joint_segment_e20_BEST","5","7.66","0.007","Git LFS or GitHub Release"
"model_dir","model9_hard_experiments_20260513","models/model9_hard_experiments_20260513","7","37.61","0.037","Git LFS or GitHub Release"
