"pair_id","split_original","split_stratified","split_family_ood","source_family","source_kind","input_png","mask_png","density_npy","direction_xy_npy","direction_axis_npy","direction_confidence_npy","boundary_png","centerline_png","color_layer_png","path_order_npy","path_order_preview_png","stitch_type_heuristic_png","entry_exit_keypoints_json","entry_exit_preview_png","direction_axis_preview_png","source_dst","segments","mask_pixels","mask_ratio","mean_direction_confidence","low_direction_confidence_ratio","width_mm","height_mm","aspect_ratio","mm_per_px_est","qa_flags","canonical_split","leakage_if_using_old_pretrain","axis_valid_mask_png","cleaned_color_layer_png","cleaned_color_layer_preview_png","segment_id_map_npy","endpoint_heatmap_npy","entry_exit_per_segment_json","path_graph_json","geometry_graph_preview_png","axis_valid_pixels","axis_valid_coverage_on_mask","path_graph_nodes","path_graph_edges","color_island_removed_pixels","dataset2_qa_flags"
"dst3322_00001_OUTA3002","train","train","train","OUTA","dst_rendered","images\dst3322_00001_OUTA3002.png","labels\dst3322_00001_OUTA3002_mask.png","labels\dst3322_00001_OUTA3002_density.npy","labels\dst3322_00001_OUTA3002_direction_xy.npy","labels\dst3322_00001_OUTA3002_direction_axis.npy","labels\dst3322_00001_OUTA3002_direction_confidence.npy","labels\dst3322_00001_OUTA3002_boundary.png","labels\dst3322_00001_OUTA3002_centerline.png","labels\dst3322_00001_OUTA3002_color_layer.png","labels\dst3322_00001_OUTA3002_path_order.npy","previews\dst3322_00001_OUTA3002_path_order_preview.png","labels\dst3322_00001_OUTA3002_stitch_type_heuristic.png","labels\dst3322_00001_OUTA3002_entry_exit_keypoints.json","previews\dst3322_00001_OUTA3002_entry_exit_preview.png","previews\dst3322_00001_OUTA3002_direction_axis_preview.png","external/raw_embroidery/OUTA3002.DST","2154","5670","0.086517","0.214281","0.754321","85.6","29.1","2.941581","0.375439","sparse_mask|weak_direction_label","train","False","labels\dst3322_00001_OUTA3002_axis_valid_mask.png","labels\dst3322_00001_OUTA3002_cleaned_color_layer.png","previews\dst3322_00001_OUTA3002_cleaned_color_layer_preview.png","labels\dst3322_00001_OUTA3002_segment_id_map.npy","labels\dst3322_00001_OUTA3002_endpoint_heatmap.npy","graphs\dst3322_00001_OUTA3002_entry_exit_per_segment.json","graphs\dst3322_00001_OUTA3002_path_graph.json","previews\dst3322_00001_OUTA3002_geometry_graph_preview.png","1393","0.245679","8","32","0","sparse_mask|weak_direction_label"
"dst3322_00002_d2333","train","val","ood_test","d","dst_rendered","images\dst3322_00002_d2333.png","labels\dst3322_00002_d2333_mask.png","labels\dst3322_00002_d2333_density.npy","labels\dst3322_00002_d2333_direction_xy.npy","labels\dst3322_00002_d2333_direction_axis.npy","labels\dst3322_00002_d2333_direction_confidence.npy","labels\dst3322_00002_d2333_boundary.png","labels\dst3322_00002_d2333_centerline.png","labels\dst3322_00002_d2333_color_layer.png","labels\dst3322_00002_d2333_path_order.npy","previews\dst3322_00002_d2333_path_order_preview.png","labels\dst3322_00002_d2333_stitch_type_heuristic.png","labels\dst3322_00002_d2333_entry_exit_keypoints.json","previews\dst3322_00002_d2333_entry_exit_preview.png","previews\dst3322_00002_d2333_direction_axis_preview.png","external/raw_embroidery/d2333.dst","4059","17244","0.263123","0.225055","0.534795","131.9","135.9","1.030326","0.596053","weak_direction_label","train","False","labels\dst3322_00002_d2333_axis_valid_mask.png","labels\dst3322_00002_d2333_cleaned_color_layer.png","previews\dst3322_00002_d2333_cleaned_color_layer_preview.png","labels\dst3322_00002_d2333_segment_id_map.npy","labels\dst3322_00002_d2333_endpoint_heatmap.npy","graphs\dst3322_00002_d2333_entry_exit_per_segment.json","graphs\dst3322_00002_d2333_path_graph.json","previews\dst3322_00002_d2333_geometry_graph_preview.png","8022","0.465205","14","56","41","color_islands_cleaned|weak_direction_label"
"dst3322_00003_D1904","train","train","train","D","dst_rendered","images\dst3322_00003_D1904.png","labels\dst3322_00003_D1904_mask.png","labels\dst3322_00003_D1904_density.npy","labels\dst3322_00003_D1904_direction_xy.npy","labels\dst3322_00003_D1904_direction_axis.npy","labels\dst3322_00003_D1904_direction_confidence.npy","labels\dst3322_00003_D1904_boundary.png","labels\dst3322_00003_D1904_centerline.png","labels\dst3322_00003_D1904_color_layer.png","labels\dst3322_00003_D1904_path_order.npy","previews\dst3322_00003_D1904_path_order_preview.png","labels\dst3322_00003_D1904_stitch_type_heuristic.png","labels\dst3322_00003_D1904_entry_exit_keypoints.json","previews\dst3322_00003_D1904_entry_exit_preview.png","previews\dst3322_00003_D1904_direction_axis_preview.png","external/raw_embroidery/D1904.dst","2969","6263","0.095566","0.14095","0.838576","150.4","86.9","1.730725","0.659649","sparse_mask|weak_direction_label","train","False","labels\dst3322_00003_D1904_axis_valid_mask.png","labels\dst3322_00003_D1904_cleaned_color_layer.png","previews\dst3322_00003_D1904_cleaned_color_layer_preview.png","labels\dst3322_00003_D1904_segment_id_map.npy","labels\dst3322_00003_D1904_endpoint_heatmap.npy","graphs\dst3322_00003_D1904_entry_exit_per_segment.json","graphs\dst3322_00003_D1904_path_graph.json","previews\dst3322_00003_D1904_geometry_graph_preview.png","1011","0.161424","1","0","0","sparse_mask|weak_direction_label"
"dst3322_00004_96760","train","val","train","967","dst_rendered","images\dst3322_00004_96760.png","labels\dst3322_00004_96760_mask.png","labels\dst3322_00004_96760_density.npy","labels\dst3322_00004_96760_direction_xy.npy","labels\dst3322_00004_96760_direction_axis.npy","labels\dst3322_00004_96760_direction_confidence.npy","labels\dst3322_00004_96760_boundary.png","labels\dst3322_00004_96760_centerline.png","labels\dst3322_00004_96760_color_layer.png","labels\dst3322_00004_96760_path_order.npy","previews\dst3322_00004_96760_path_order_preview.png","labels\dst3322_00004_96760_stitch_type_heuristic.png","labels\dst3322_00004_96760_entry_exit_keypoints.json","previews\dst3322_00004_96760_entry_exit_preview.png","previews\dst3322_00004_96760_direction_axis_preview.png","external/raw_embroidery/96760.DST","10226","7124","0.108704","0.075274","0.96982","52.9","177.4","3.353497","0.77807","weak_direction_label","train","False","labels\dst3322_00004_96760_axis_valid_mask.png","labels\dst3322_00004_96760_cleaned_color_layer.png","previews\dst3322_00004_96760_cleaned_color_layer_preview.png","labels\dst3322_00004_96760_segment_id_map.npy","labels\dst3322_00004_96760_endpoint_heatmap.npy","graphs\dst3322_00004_96760_entry_exit_per_segment.json","graphs\dst3322_00004_96760_path_graph.json","previews\dst3322_00004_96760_geometry_graph_preview.png","215","0.03018","27","108","323","color_islands_cleaned|low_axis_valid_coverage|weak_direction_label"
"dst3322_00005_design","train","train","ood_test","梅花","dst_rendered","images\dst3322_00005_design.png","labels\dst3322_00005_design_mask.png","labels\dst3322_00005_design_density.npy","labels\dst3322_00005_design_direction_xy.npy","labels\dst3322_00005_design_direction_axis.npy","labels\dst3322_00005_design_direction_confidence.npy","labels\dst3322_00005_design_boundary.png","labels\dst3322_00005_design_centerline.png","labels\dst3322_00005_design_color_layer.png","labels\dst3322_00005_design_path_order.npy","previews\dst3322_00005_design_path_order_preview.png","labels\dst3322_00005_design_stitch_type_heuristic.png","labels\dst3322_00005_design_entry_exit_keypoints.json","previews\dst3322_00005_design_entry_exit_preview.png","previews\dst3322_00005_design_direction_axis_preview.png","external/raw_embroidery/梅花.dst","5541","9181","0.140091","0.092486","0.958066","84.1","153.1","1.820452","0.671491","weak_direction_label","train","False","labels\dst3322_00005_design_axis_valid_mask.png","labels\dst3322_00005_design_cleaned_color_layer.png","previews\dst3322_00005_design_cleaned_color_layer_preview.png","labels\dst3322_00005_design_segment_id_map.npy","labels\dst3322_00005_design_endpoint_heatmap.npy","graphs\dst3322_00005_design_entry_exit_per_segment.json","graphs\dst3322_00005_design_path_graph.json","previews\dst3322_00005_design_geometry_graph_preview.png","385","0.041934","39","156","11","color_islands_cleaned|low_axis_valid_coverage|weak_direction_label"
"dst3322_00006_design","train","train","train","虎头","dst_rendered","images\dst3322_00006_design.png","labels\dst3322_00006_design_mask.png","labels\dst3322_00006_design_density.npy","labels\dst3322_00006_design_direction_xy.npy","labels\dst3322_00006_design_direction_axis.npy","labels\dst3322_00006_design_direction_confidence.npy","labels\dst3322_00006_design_boundary.png","labels\dst3322_00006_design_centerline.png","labels\dst3322_00006_design_color_layer.png","labels\dst3322_00006_design_path_order.npy","previews\dst3322_00006_design_path_order_preview.png","labels\dst3322_00006_design_stitch_type_heuristic.png","labels\dst3322_00006_design_entry_exit_keypoints.json","previews\dst3322_00006_design_entry_exit_preview.png","previews\dst3322_00006_design_direction_axis_preview.png","external/raw_embroidery/虎头.dst","13818","36761","0.560928","0.132573","0.809554","114.9","104.7","1.097421","0.503947","weak_direction_label","test","True","labels\dst3322_00006_design_axis_valid_mask.png","labels\dst3322_00006_design_cleaned_color_layer.png","previews\dst3322_00006_design_cleaned_color_layer_preview.png","labels\dst3322_00006_design_segment_id_map.npy","labels\dst3322_00006_design_endpoint_heatmap.npy","graphs\dst3322_00006_design_entry_exit_per_segment.json","graphs\dst3322_00006_design_path_graph.json","previews\dst3322_00006_design_geometry_graph_preview.png","7001","0.190446","133","532","487","color_islands_cleaned|weak_direction_label"
"dst3322_00007_BORF2011","train","val","train","BORF","dst_rendered","images\dst3322_00007_BORF2011.png","labels\dst3322_00007_BORF2011_mask.png","labels\dst3322_00007_BORF2011_density.npy","labels\dst3322_00007_BORF2011_direction_xy.npy","labels\dst3322_00007_BORF2011_direction_axis.npy","labels\dst3322_00007_BORF2011_direction_confidence.npy","labels\dst3322_00007_BORF2011_boundary.png","labels\dst3322_00007_BORF2011_centerline.png","labels\dst3322_00007_BORF2011_color_layer.png","labels\dst3322_00007_BORF2011_path_order.npy","previews\dst3322_00007_BORF2011_path_order_preview.png","labels\dst3322_00007_BORF2011_stitch_type_heuristic.png","labels\dst3322_00007_BORF2011_entry_exit_keypoints.json","previews\dst3322_00007_BORF2011_entry_exit_preview.png","previews\dst3322_00007_BORF2011_direction_axis_preview.png","external/raw_embroidery/BORF2011.DST","3325","12935","0.197372","0.102724","0.858678","99.6","44.3","2.248307","0.436842","weak_direction_label","train","False","labels\dst3322_00007_BORF2011_axis_valid_mask.png","labels\dst3322_00007_BORF2011_cleaned_color_layer.png","previews\dst3322_00007_BORF2011_cleaned_color_layer_preview.png","labels\dst3322_00007_BORF2011_segment_id_map.npy","labels\dst3322_00007_BORF2011_endpoint_heatmap.npy","graphs\dst3322_00007_BORF2011_entry_exit_per_segment.json","graphs\dst3322_00007_BORF2011_path_graph.json","previews\dst3322_00007_BORF2011_geometry_graph_preview.png","1828","0.141322","1","0","0","weak_direction_label"
"dst3322_00008_ANIB1006","train","test","train","ANIB","dst_rendered","images\dst3322_00008_ANIB1006.png","labels\dst3322_00008_ANIB1006_mask.png","labels\dst3322_00008_ANIB1006_density.npy","labels\dst3322_00008_ANIB1006_direction_xy.npy","labels\dst3322_00008_ANIB1006_direction_axis.npy","labels\dst3322_00008_ANIB1006_direction_confidence.npy","labels\dst3322_00008_ANIB1006_boundary.png","labels\dst3322_00008_ANIB1006_centerline.png","labels\dst3322_00008_ANIB1006_color_layer.png","labels\dst3322_00008_ANIB1006_path_order.npy","previews\dst3322_00008_ANIB1006_path_order_preview.png","labels\dst3322_00008_ANIB1006_stitch_type_heuristic.png","labels\dst3322_00008_ANIB1006_entry_exit_keypoints.json","previews\dst3322_00008_ANIB1006_entry_exit_preview.png","previews\dst3322_00008_ANIB1006_direction_axis_preview.png","external/raw_embroidery/ANIB1006.DST","4373","28542","0.435516","0.165766","0.655105","48.6","51.6","1.061728","0.226316","weak_direction_label","train","False","labels\dst3322_00008_ANIB1006_axis_valid_mask.png","labels\dst3322_00008_ANIB1006_cleaned_color_layer.png","previews\dst3322_00008_ANIB1006_cleaned_color_layer_preview.png","labels\dst3322_00008_ANIB1006_segment_id_map.npy","labels\dst3322_00008_ANIB1006_endpoint_heatmap.npy","graphs\dst3322_00008_ANIB1006_entry_exit_per_segment.json","graphs\dst3322_00008_ANIB1006_path_graph.json","previews\dst3322_00008_ANIB1006_geometry_graph_preview.png","9844","0.344895","19","76","49","color_islands_cleaned|weak_direction_label"
"dst3322_00009_CHIA1013","train","train","train","CHIA","dst_rendered","images\dst3322_00009_CHIA1013.png","labels\dst3322_00009_CHIA1013_mask.png","labels\dst3322_00009_CHIA1013_density.npy","labels\dst3322_00009_CHIA1013_direction_xy.npy","labels\dst3322_00009_CHIA1013_direction_axis.npy","labels\dst3322_00009_CHIA1013_direction_confidence.npy","labels\dst3322_00009_CHIA1013_boundary.png","labels\dst3322_00009_CHIA1013_centerline.png","labels\dst3322_00009_CHIA1013_color_layer.png","labels\dst3322_00009_CHIA1013_path_order.npy","previews\dst3322_00009_CHIA1013_path_order_preview.png","labels\dst3322_00009_CHIA1013_stitch_type_heuristic.png","labels\dst3322_00009_CHIA1013_entry_exit_keypoints.json","previews\dst3322_00009_CHIA1013_entry_exit_preview.png","previews\dst3322_00009_CHIA1013_direction_axis_preview.png","external/raw_embroidery/CHIA1013.DST","4017","23196","0.353943","0.196946","0.609157","52.5","51.2","1.025391","0.230263","weak_direction_label","test","True","labels\dst3322_00009_CHIA1013_axis_valid_mask.png","labels\dst3322_00009_CHIA1013_cleaned_color_layer.png","previews\dst3322_00009_CHIA1013_cleaned_color_layer_preview.png","labels\dst3322_00009_CHIA1013_segment_id_map.npy","labels\dst3322_00009_CHIA1013_endpoint_heatmap.npy","graphs\dst3322_00009_CHIA1013_entry_exit_per_segment.json","graphs\dst3322_00009_CHIA1013_path_graph.json","previews\dst3322_00009_CHIA1013_geometry_graph_preview.png","9066","0.390843","12","48","5","color_islands_cleaned|weak_direction_label"
"dst3322_00010_BORD2014","train","train","train","BORD","dst_rendered","images\dst3322_00010_BORD2014.png","labels\dst3322_00010_BORD2014_mask.png","labels\dst3322_00010_BORD2014_density.npy","labels\dst3322_00010_BORD2014_direction_xy.npy","labels\dst3322_00010_BORD2014_direction_axis.npy","labels\dst3322_00010_BORD2014_direction_confidence.npy","labels\dst3322_00010_BORD2014_boundary.png","labels\dst3322_00010_BORD2014_centerline.png","labels\dst3322_00010_BORD2014_color_layer.png","labels\dst3322_00010_BORD2014_path_order.npy","previews\dst3322_00010_BORD2014_path_order_preview.png","labels\dst3322_00010_BORD2014_stitch_type_heuristic.png","labels\dst3322_00010_BORD2014_entry_exit_keypoints.json","previews\dst3322_00010_BORD2014_entry_exit_preview.png","previews\dst3322_00010_BORD2014_direction_axis_preview.png","external/raw_embroidery/BORD2014.DST","7553","9850","0.150299","0.090273","0.94264","126.7","105.1","1.205519","0.555702","weak_direction_label","train","False","labels\dst3322_00010_BORD2014_axis_valid_mask.png","labels\dst3322_00010_BORD2014_cleaned_color_layer.png","previews\dst3322_00010_BORD2014_cleaned_color_layer_preview.png","labels\dst3322_00010_BORD2014_segment_id_map.npy","labels\dst3322_00010_BORD2014_endpoint_heatmap.npy","graphs\dst3322_00010_BORD2014_entry_exit_per_segment.json","graphs\dst3322_00010_BORD2014_path_graph.json","previews\dst3322_00010_BORD2014_geometry_graph_preview.png","565","0.05736","25","100","20","color_islands_cleaned|weak_direction_label"
