sample_id,input_png,split,use
mini_00007,inputs/dst3322_00007_CEJ88_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00014,inputs/dst3322_00014_BORD2010_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00019,inputs/dst3322_00019_BOSH2013_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00022,inputs/dst3322_00022_Untitled5_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00026,inputs/dst3322_00026_SHOW1009_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00032,inputs/dst3322_00032_D1896_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00039,inputs/dst3322_00039_CHIB3007_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00041,inputs/dst3322_00041_0302_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00043,inputs/dst3322_00043_e959_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00045,inputs/dst3322_00045_33102123_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00048,inputs/dst3322_00048_ANIJ3021_model10_continuity_prediction.png,demo,inference_smoke_test
mini_00058,inputs/dst3322_00058_ANIB1037_model10_continuity_prediction.png,demo,inference_smoke_test
