sample_id,method,eval_json,input,mask,target,jump_count,jump_path_mm,off_mask_stitch_length_mm,round_trip_parse_success,stitch_count,stitch_path_mm,trim_count,visible_connector_count,visible_connector_length_mm,unified_loss,exec_score,visual_risk,quality_level
pair_006,b1_conservative,outputs\b1_sweep_latest_pair_20260617\b1_conservative\pair_006\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_006\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_006\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_006\target_normalized.dst,126,730.7612,437.3581,True,3523,3569.186,26,121,363.2428,0.64338436,0.34338436,0.3,hard_fail
pair_006,b1_low_connect,outputs\b1_sweep_latest_pair_20260617\b1_low_connect\pair_006\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_006\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_006\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_006\target_normalized.dst,149,732.9107,492.6919,True,3660,3636.1347,22,149,424.1285,0.64345314,0.34345314,0.3,hard_fail
pair_006,b1_dense_thread,outputs\b1_sweep_latest_pair_20260617\b1_dense_thread\pair_006\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_006\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_006\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_006\target_normalized.dst,196,1004.509,2317.4356,True,8486,8982.809,30,773,2018.0796,0.65214429,0.35214429,0.3,hard_fail
pair_006,b1_region_fill,outputs\b1_sweep_latest_pair_20260617\b1_region_fill\pair_006\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_006\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_006\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_006\target_normalized.dst,166,834.1538,2169.9661,True,7927,8536.109,25,721,1996.919,0.64669292,0.34669292,0.3,hard_fail
pair_008,b1_conservative,outputs\b1_sweep_latest_pair_20260617\b1_conservative\pair_008\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_008\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_008\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_008\target_normalized.dst,146,901.7005,49.0486,True,2188,2934.5452,26,4,9.411,0.62767642,0.34885442,0.278822,hard_fail
pair_008,b1_low_connect,outputs\b1_sweep_latest_pair_20260617\b1_low_connect\pair_008\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_008\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_008\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_008\target_normalized.dst,170,1013.2321,40.2247,True,2375,3090.5972,35,1,2.3022,0.56369449,0.35242343,0.21127107,hard_fail
pair_008,b1_dense_thread,outputs\b1_sweep_latest_pair_20260617\b1_dense_thread\pair_008\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_008\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_008\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_008\target_normalized.dst,255,1452.2659,103.7458,True,5861,7689.63,46,2,3.9279,0.60766164,0.36647251,0.24118913,hard_fail
pair_008,b1_region_fill,outputs\b1_sweep_latest_pair_20260617\b1_region_fill\pair_008\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_008\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_008\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_008\target_normalized.dst,203,1157.0653,102.9438,True,5375,7580.5792,36,1,2.3,0.56829276,0.35702609,0.21126667,hard_fail
pair_010,b1_conservative,outputs\b1_sweep_latest_pair_20260617\b1_conservative\pair_010\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_010\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_010\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_010\target_normalized.dst,147,877.2625,70.0023,True,5230,4350.4538,31,8,20.6894,0.6480724,0.3480724,0.3,hard_fail
pair_010,b1_low_connect,outputs\b1_sweep_latest_pair_20260617\b1_low_connect\pair_010\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_010\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_010\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_010\target_normalized.dst,341,1490.6518,74.5776,True,5276,4059.4718,31,8,20.6973,0.66770086,0.36770086,0.3,hard_fail
pair_010,b1_dense_thread,outputs\b1_sweep_latest_pair_20260617\b1_dense_thread\pair_010\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_010\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_010\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_010\target_normalized.dst,387,1846.4549,202.7947,True,10356,5970.4802,51,24,56.072,0.67908656,0.37908656,0.3,hard_fail
pair_010,b1_region_fill,outputs\b1_sweep_latest_pair_20260617\b1_region_fill\pair_010\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_010\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_010\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_010\target_normalized.dst,296,1443.2352,189.4548,True,10374,6072.5341,44,19,45.1113,0.66618353,0.36618353,0.3,hard_fail
pair_011a,b1_conservative,outputs\b1_sweep_latest_pair_20260617\b1_conservative\pair_011a\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_011a\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_011a\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_011a\target_normalized.dst,104,623.5982,186.9032,True,1447,1468.8917,18,15,46.7733,0.62795514,0.32795514,0.3,hard_fail
pair_011a,b1_low_connect,outputs\b1_sweep_latest_pair_20260617\b1_low_connect\pair_011a\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_011a\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_011a\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_011a\target_normalized.dst,154,821.6912,197.4577,True,1430,1386.1225,19,27,85.1197,0.64029412,0.34029412,0.3,hard_fail
pair_011a,b1_dense_thread,outputs\b1_sweep_latest_pair_20260617\b1_dense_thread\pair_011a\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_011a\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_011a\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_011a\target_normalized.dst,225,1270.1753,523.1026,True,3558,3187.7748,42,87,242.835,0.66064561,0.36064561,0.3,hard_fail
pair_011a,b1_region_fill,outputs\b1_sweep_latest_pair_20260617\b1_region_fill\pair_011a\executability_eval.json,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_011a\preprocess_v2\selected_design.png,datasets\incoming_review\latest_dataset_20260615\organized\pairing_review_NOT_FOR_TRAINING_YET\paired_candidates_FOR_APPROVAL_NOT_TRAINING\pair_011a\preprocess_v2\selected_mask.png,outputs\latest_dataset_pair_eval_20260615\model13_relation_fixed_no_training\pair_011a\target_normalized.dst,179,1017.8872,540.5491,True,3342,3150.3235,32,83,239.097,0.65257239,0.35257239,0.3,hard_fail
