eval_json,sample_id,method,jump_count,jump_path_mm,max_jump_mm,off_mask_stitch_length_mm,round_trip_parse_success,stitch_count,stitch_path_mm,trim_count,visible_connector_count,visible_connector_length_mm,unified_loss,exec_score,visual_risk,quality_level
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_thread_v2_dense_no_training/pair_006/executability_eval.json,pair_006,model13_relation_fixed_thread_v2_dense_no_training,185,1064.1786,7.5166,1076.3456,True,5011,7070.9506,33,417,1091.5514,0.65405372,0.35405372,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_thread_v2_dense_no_training/pair_008/executability_eval.json,pair_008,model13_relation_fixed_thread_v2_dense_no_training,285,1667.6753,7.5273,86.0805,True,5897,4389.6869,57,2,3.4307,0.61356034,0.37336561,0.24019473,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_thread_v2_dense_no_training/pair_010/executability_eval.json,pair_010,model13_relation_fixed_thread_v2_dense_no_training,333,1861.926,7.5452,231.2212,True,6660,4922.9637,65,33,74.2479,0.67958163,0.37958163,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_thread_v2_dense_no_training/pair_011a/executability_eval.json,pair_011a,model13_relation_fixed_thread_v2_dense_no_training,265,1524.3549,7.4518,40.6224,True,3606,1992.269,57,3,5.7911,0.64036156,0.36877936,0.2715822,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_thread_v2_no_training/pair_006/executability_eval.json,pair_006,model13_relation_fixed_thread_v2_no_training,87,506.2008,7.4041,131.4633,True,1929,2535.3757,16,44,128.8535,0.61219843,0.31219843,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_thread_v2_no_training/pair_008/executability_eval.json,pair_008,model13_relation_fixed_thread_v2_no_training,180,1107.1209,7.4706,68.2158,True,2570,2636.0485,32,1,2.184,0.56646254,0.35542787,0.21103467,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_thread_v2_no_training/pair_010/executability_eval.json,pair_010,model13_relation_fixed_thread_v2_no_training,117,646.6245,7.433,113.137,True,3295,2748.0903,20,15,37.6721,0.64069198,0.34069198,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_thread_v2_no_training/pair_011a/executability_eval.json,pair_011a,model13_relation_fixed_thread_v2_no_training,117,716.1854,7.4733,192.1903,True,1752,1577.3255,28,19,54.9439,0.64291793,0.34291793,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_no_connectors_no_training/pair_006/executability_eval.json,pair_006,model13_relation_fixed_v2_adaptive_no_connectors_no_training,396,840.7722,7.3246,1086.8829,True,5964,9916.8673,19,165,525.3592,0.64090471,0.34090471,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_no_connectors_no_training/pair_008/executability_eval.json,pair_008,model13_relation_fixed_v2_adaptive_no_connectors_no_training,311,785.0171,7.5769,194.3402,True,3216,2963.9582,18,16,47.6415,0.63312055,0.33312055,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_no_connectors_no_training/pair_010/executability_eval.json,pair_010,model13_relation_fixed_v2_adaptive_no_connectors_no_training,746,1617.5965,7.5027,89.5281,True,4006,2794.3025,28,8,21.285,0.67176309,0.37176309,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_no_connectors_no_training/pair_011a/executability_eval.json,pair_011a,model13_relation_fixed_v2_adaptive_no_connectors_no_training,184,673.3345,7.267,1608.3524,True,3546,6644.136,12,165,533.3119,0.5935467,0.2935467,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_no_training/pair_006/executability_eval.json,pair_006,model13_relation_fixed_v2_adaptive_no_training,101,576.9707,7.3246,1091.1508,True,6268,10180.6729,19,165,525.3592,0.63246306,0.33246306,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_no_training/pair_008/executability_eval.json,pair_008,model13_relation_fixed_v2_adaptive_no_training,89,550.9084,7.5769,197.0403,True,3445,3198.0729,18,16,47.6415,0.62562907,0.32562907,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_no_training/pair_010/executability_eval.json,pair_010,model13_relation_fixed_v2_adaptive_no_training,132,814.707,7.5027,91.3957,True,4642,3599.3134,28,8,21.285,0.64607062,0.34607062,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_no_training/pair_011a/executability_eval.json,pair_011a,model13_relation_fixed_v2_adaptive_no_training,94,590.7332,7.267,1617.5242,True,3637,6726.7373,12,165,533.3119,0.59090346,0.29090346,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_safehatch_no_training/pair_006/executability_eval.json,pair_006,model13_relation_fixed_v2_adaptive_safehatch_no_training,99,572.0055,7.3246,1089.0264,True,6183,10144.0685,19,167,529.2651,0.63230418,0.33230418,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_safehatch_no_training/pair_008/executability_eval.json,pair_008,model13_relation_fixed_v2_adaptive_safehatch_no_training,97,606.7738,7.5273,197.6417,True,3386,3190.134,14,16,47.6415,0.60341676,0.30341676,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_safehatch_no_training/pair_010/executability_eval.json,pair_010,model13_relation_fixed_v2_adaptive_safehatch_no_training,128,798.831,7.5027,91.3957,True,3923,3163.7336,28,8,21.285,0.64556259,0.34556259,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_adaptive_safehatch_no_training/pair_011a/executability_eval.json,pair_011a,model13_relation_fixed_v2_adaptive_safehatch_no_training,94,589.107,7.267,1617.1636,True,3624,6722.2509,12,165,533.3119,0.59085142,0.29085142,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_selected_no_training/pair_006/executability_eval.json,pair_006,model13_relation_fixed_v2_selected_no_training,160,814.7,7.5133,2190.0704,True,7948,8581.4749,25,723,2009.7222,0.6460704,0.3460704,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_selected_no_training/pair_008/executability_eval.json,pair_008,model13_relation_fixed_v2_selected_no_training,203,1153.3724,7.4061,103.5829,True,5390,7568.133,36,1,2.3,0.56817458,0.35690792,0.21126667,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_selected_no_training/pair_010/executability_eval.json,pair_010,model13_relation_fixed_v2_selected_no_training,309,1475.243,7.5186,189.4548,True,10362,6047.7499,44,19,45.1113,0.66720778,0.36720778,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_selected_no_training/pair_011a/executability_eval.json,pair_011a,model13_relation_fixed_v2_selected_no_training,179,1017.8872,7.4813,546.8851,True,3349,3176.661,32,85,244.7406,0.65257239,0.35257239,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_selected_strictjump_no_training/pair_006/executability_eval.json,pair_006,model13_relation_fixed_v2_selected_strictjump_no_training,416,1003.8781,7.5133,2189.6903,True,7692,8392.2968,25,723,2009.7222,0.6521241,0.3521241,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_selected_strictjump_no_training/pair_008/executability_eval.json,pair_008,model13_relation_fixed_v2_selected_strictjump_no_training,239,1182.7586,7.4061,103.1162,True,5354,7538.7469,36,1,2.3,0.56911494,0.35784828,0.21126667,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_selected_strictjump_no_training/pair_010/executability_eval.json,pair_010,model13_relation_fixed_v2_selected_strictjump_no_training,1488,2485.807,7.5186,189.4548,True,9183,5037.1859,44,19,45.1113,0.69954582,0.39954582,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_relation_fixed_v2_selected_strictjump_no_training/pair_011a/executability_eval.json,pair_011a,model13_relation_fixed_v2_selected_strictjump_no_training,196,1038.8895,7.4813,545.2529,True,3332,3155.6587,32,85,244.7406,0.65324446,0.35324446,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_v2_routed_best_no_training/pair_006/executability_eval.json,pair_006,model13_v2_routed_best_no_training,87,506.2008,7.4041,131.4633,True,1929,2535.3757,16,44,128.8535,0.61219843,0.31219843,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_v2_routed_best_no_training/pair_008/executability_eval.json,pair_008,model13_v2_routed_best_no_training,203,1153.3724,7.4061,103.5829,True,5390,7568.133,36,1,2.3,0.56817458,0.35690792,0.21126667,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_v2_routed_best_no_training/pair_010/executability_eval.json,pair_010,model13_v2_routed_best_no_training,309,1475.243,7.5186,189.4548,True,10362,6047.7499,44,19,45.1113,0.66720778,0.36720778,0.3,hard_fail
outputs/latest_dataset_pair_eval_20260615/model13_v2_routed_best_no_training/pair_011a/executability_eval.json,pair_011a,model13_v2_routed_best_no_training,265,1524.3549,7.4518,40.6224,True,3606,1992.269,57,3,5.7911,0.64036156,0.36877936,0.2715822,hard_fail
