rank,hidden_dim,lr,weight_decay,epochs,seed,mean_config_mse
1,4,0.05,0.01,800,13,17.75667872
2,16,0.05,0.01,800,1,24.22737813
3,32,0.05,0.01,800,2,27.1473707
4,16,0.03,0.01,800,1,29.47010722
5,8,0.05,0.01,800,2,30.09787972
6,8,0.03,0.01,800,2,31.71034066
7,32,0.03,0.01,800,2,32.18513614
8,16,0.05,0.01,800,2,32.92669857
9,4,0.05,0.01,800,1,33.8920296
10,8,0.03,0.01,800,3,35.11970135
11,4,0.03,0.01,800,13,35.741264
12,8,0.01,0.01,800,5,36.01961413
13,8,0.05,0.01,800,8,36.26175886
14,16,0.05,0.001,800,1,36.9410292
15,16,0.05,0.01,800,5,37.02881625
16,8,0.05,0.01,800,3,38.1268615
17,8,0.05,0.01,800,5,38.15273557
18,16,0.03,0.001,800,1,38.5203271
19,32,0.01,0.01,800,2,39.26283374
20,8,0.05,0.001,800,2,39.32457954
21,16,0.05,0.0001,800,1,39.37074292
22,16,0.05,0.0,800,1,39.62393394
23,16,0.03,0.0001,800,1,39.77792153
24,16,0.03,0.0,800,1,39.92336627
25,32,0.05,0.01,800,1,40.06508325
26,8,0.03,0.001,800,2,40.23009282
27,16,0.01,0.01,800,1,40.44308604
28,32,0.03,0.01,800,1,40.89405042
29,32,0.05,0.001,800,2,40.95425177
30,32,0.01,0.01,800,1,41.03158062
31,4,0.03,0.01,800,1,41.7475123
32,32,0.03,0.001,800,2,41.77093115
33,8,0.01,0.01,800,2,41.87477994
34,8,0.05,0.0001,800,2,41.91655645
35,8,0.03,0.0001,800,2,42.0602094
36,8,0.05,0.001,800,3,42.1301548
37,8,0.05,0.0,800,2,42.24370779
38,8,0.03,0.0,800,2,42.27951487
39,16,0.03,0.01,800,2,42.45575466
40,32,0.05,0.01,800,8,42.72774233
41,32,0.01,0.001,800,2,42.76432446
42,8,0.03,0.001,800,3,42.95670523
43,32,0.03,0.0001,800,2,43.03234898
44,32,0.05,0.0001,800,2,43.03247609
45,32,0.01,0.0001,800,2,43.15334104
46,32,0.03,0.0,800,2,43.17690404
47,32,0.01,0.0,800,2,43.19703674
48,32,0.05,0.0,800,2,43.27542342
49,32,0.005,0.01,800,2,43.28467357
50,4,0.05,0.001,800,13,43.44401801
51,16,0.01,0.001,800,1,43.49622755
52,32,0.05,0.001,800,1,43.58336591
53,8,0.05,0.0001,800,3,43.69846529
54,16,0.01,0.0001,800,1,43.84198623
55,16,0.01,0.0,800,1,43.88087796
56,8,0.05,0.0,800,3,43.88228782
57,8,0.03,0.0001,800,3,43.9136902
58,8,0.03,0.0,800,3,44.02369773
59,8,0.05,0.01,800,13,44.42318702
60,16,0.005,0.01,800,1,44.70624112
61,32,0.005,0.001,800,2,45.03221156
62,32,0.005,0.0001,800,2,45.21735707
63,32,0.005,0.0,800,2,45.23804954
64,8,0.01,0.001,800,2,45.54934825
65,16,0.03,0.01,800,5,45.76270964
66,8,0.01,0.0001,800,2,45.99862794
67,8,0.01,0.0,800,2,46.04949915
68,16,0.005,0.001,800,1,46.15059229
69,32,0.005,0.01,800,1,46.17474494
70,16,0.005,0.0001,800,1,46.30392624
71,16,0.005,0.0,800,1,46.32106523
72,4,0.05,0.0001,800,13,47.33552984
73,8,0.03,0.01,800,13,47.4904932
74,4,0.05,0.0,800,13,47.78492258
75,8,0.05,0.01,800,1,48.89998085
76,8,0.03,0.01,800,5,49.23708807
77,4,0.03,0.001,800,1,49.47904996
78,4,0.05,0.001,800,1,49.70326812
79,4,0.03,0.0001,800,1,50.36158593
80,8,0.05,0.001,800,8,50.39823871
81,4,0.03,0.0,800,1,50.4610664
82,8,0.05,0.0001,800,8,50.4790143
83,8,0.05,0.0,800,8,50.49181235
84,32,0.01,0.001,800,1,50.61035309
85,32,0.01,0.0001,800,1,50.7448968
86,32,0.01,0.0,800,1,50.7599502
87,8,0.03,0.0,800,8,51.2132728
88,8,0.03,0.0001,800,8,51.21816127
89,8,0.005,0.01,800,2,51.22758909
90,8,0.03,0.001,800,8,51.27292764
91,4,0.05,0.0001,800,1,51.37199156
92,4,0.05,0.0,800,1,51.5597543
93,8,0.05,0.001,800,13,51.99656943
94,32,0.03,0.01,800,8,52.21450979
95,32,0.03,0.001,800,1,52.27158621
96,4,0.03,0.001,800,8,52.53716353
97,8,0.03,0.01,800,8,52.62714179
98,4,0.03,0.0001,800,8,52.66096179
99,4,0.03,0.0,800,8,52.67762187
100,8,0.05,0.0001,800,13,52.77342752
101,8,0.005,0.001,800,2,52.79066188
102,32,0.03,0.0001,800,1,52.8155019
103,8,0.05,0.0,800,13,52.8653886
104,32,0.03,0.0,800,1,52.87672952
105,4,0.05,0.001,800,8,52.94313563
106,8,0.005,0.0001,800,2,52.96367322
107,8,0.005,0.0,800,2,52.98309334
108,32,0.05,0.0001,800,1,52.9890783
109,32,0.05,0.0,800,1,53.09033269
110,4,0.05,0.0001,800,8,53.26942307
111,4,0.05,0.0,800,8,53.31441472
112,32,0.005,0.001,800,1,53.43665539
113,32,0.005,0.0001,800,1,53.47527526
114,32,0.005,0.0,800,1,53.47958292
115,4,0.03,0.01,800,8,53.59106659
116,8,0.005,0.01,800,5,53.69164087
117,8,0.03,0.001,800,13,53.85008245
118,8,0.03,0.0001,800,13,54.35634986
119,8,0.03,0.0,800,13,54.41483694
120,8,0.01,0.0,800,8,54.47934289
121,8,0.01,0.0001,800,8,54.48445694
122,8,0.01,0.001,800,8,54.53139223
123,8,0.01,0.001,800,5,54.78147525
124,8,0.01,0.01,800,8,55.0810108
125,4,0.01,0.001,800,8,55.66130369
126,4,0.01,0.0001,800,8,55.67584321
127,4,0.01,0.0,800,8,55.67774747
128,4,0.01,0.01,800,8,55.75093309
129,4,0.05,0.01,800,8,56.18251397
130,16,0.05,0.001,800,5,56.66917304
131,4,0.005,0.0001,800,8,57.24717885
132,4,0.005,0.0,800,8,57.24718677
133,4,0.005,0.001,800,8,57.24770011
134,4,0.005,0.01,800,8,57.30878662
135,8,0.005,0.001,800,5,57.76831461
136,8,0.005,0.0001,800,5,58.16407591
137,8,0.005,0.0,800,8,58.17163675
138,8,0.005,0.0001,800,8,58.174366
139,8,0.005,0.001,800,8,58.19909557
140,8,0.005,0.0,800,5,58.2078926
141,16,0.03,0.001,800,5,58.27251601
142,8,0.01,0.0001,800,5,58.28189336
143,8,0.01,0.0,800,5,58.39534624
144,8,0.005,0.01,800,8,58.46174917
145,4,0.03,0.001,800,13,58.77818109
146,8,0.05,0.001,800,5,59.09576583
147,16,0.05,0.0001,800,5,59.09689862
148,16,0.05,0.0,800,5,59.37709103
149,16,0.01,0.01,800,5,59.57786551
150,16,0.03,0.0001,800,5,59.77613268
151,16,0.03,0.0,800,5,59.94721615
152,16,0.05,0.01,800,8,60.04684092
153,8,0.03,0.001,800,5,60.59325734
154,4,0.01,0.01,800,1,61.06683843
155,8,0.01,0.01,800,13,61.30267929
156,4,0.03,0.0001,800,13,61.79234528
157,16,0.05,0.01,800,13,61.86850143
158,4,0.03,0.0,800,13,62.13661141
159,8,0.05,0.0001,800,5,62.4652015
160,8,0.01,0.001,800,13,62.7748371
161,8,0.05,0.0,800,5,62.82004668
162,8,0.03,0.0001,800,5,62.85246579
163,8,0.01,0.0001,800,13,62.93752563
164,8,0.01,0.0,800,13,62.95577854
165,8,0.03,0.0,800,5,63.09643451
166,4,0.01,0.001,800,1,63.68067679
167,4,0.01,0.0001,800,1,63.95422564
168,4,0.01,0.0,800,1,63.98476803
169,16,0.03,0.01,800,8,64.0703342
170,8,0.03,0.01,800,1,64.21139087
171,16,0.01,0.001,800,5,64.81405182
172,32,0.01,0.01,800,8,64.88317087
173,16,0.01,0.0001,800,5,65.38264447
174,16,0.01,0.0,800,5,65.44637416
175,16,0.005,0.01,800,5,66.88755705
176,8,0.01,0.01,800,3,67.84645389
177,32,0.05,0.01,800,13,68.59965302
178,16,0.005,0.001,800,5,69.78035144
179,16,0.005,0.0001,800,5,70.08422641
180,16,0.005,0.0,800,5,70.11815995
181,8,0.005,0.01,800,13,71.47974593
182,8,0.005,0.001,800,13,72.27722741
183,8,0.005,0.0001,800,13,72.36090903
184,8,0.005,0.0,800,13,72.37025137
185,32,0.05,0.01,800,5,72.49017342
186,32,0.03,0.01,800,13,73.07127605
187,16,0.01,0.01,800,8,73.34020593
188,8,0.01,0.001,800,3,73.69327791
189,16,0.05,0.001,800,8,73.91174561
190,32,0.05,0.001,800,8,74.29356548
191,8,0.01,0.0001,800,3,74.36642033
192,8,0.01,0.0,800,3,74.44234136
193,16,0.03,0.001,800,8,75.05371906
194,16,0.05,0.0001,800,8,76.08062847
195,32,0.03,0.001,800,8,76.09753568
196,16,0.05,0.0,800,8,76.33057653
197,16,0.03,0.0001,800,8,76.40492843
198,16,0.03,0.0,800,8,76.55853448
199,4,0.005,0.01,800,1,76.68681775
200,16,0.005,0.01,800,8,76.75392025
201,16,0.03,0.01,800,13,76.95598551
202,4,0.05,0.01,800,3,77.47945199
203,4,0.005,0.001,800,1,77.90718525
204,16,0.01,0.001,800,8,78.02836776
205,4,0.005,0.0001,800,1,78.03203814
206,4,0.005,0.0,800,1,78.04594403
207,32,0.05,0.0001,800,8,78.05852004
208,32,0.03,0.0001,800,8,78.38903951
209,32,0.05,0.0,800,8,78.49672168
210,16,0.01,0.0001,800,8,78.53788969
211,16,0.01,0.0,800,8,78.59498869
212,32,0.03,0.0,800,8,78.65097387
213,16,0.005,0.001,800,8,79.52543677
214,16,0.005,0.0001,800,8,79.81538449
215,16,0.005,0.0,800,8,79.84774911
216,32,0.01,0.001,800,8,80.24350039
217,32,0.05,0.01,800,3,80.30948844
218,8,0.01,0.01,800,1,80.76288764
219,32,0.01,0.0001,800,8,81.01860077
220,32,0.01,0.0,800,8,81.10559318
221,4,0.05,0.01,800,2,81.12397694
222,32,0.005,0.01,800,8,82.06176491
223,4,0.01,0.0,800,3,83.08080731
224,4,0.01,0.0001,800,3,83.09065758
225,4,0.01,0.001,800,3,83.19956174
226,8,0.005,0.01,800,3,84.40495578
227,4,0.05,0.01,800,5,85.56235315
228,32,0.005,0.001,800,8,85.7665636
229,32,0.005,0.0001,800,8,86.15712143
230,32,0.005,0.0,800,8,86.20074823
231,8,0.05,0.001,800,1,86.50388004
232,4,0.005,0.01,800,3,87.97228865
233,4,0.005,0.001,800,3,88.22481872
234,4,0.005,0.0001,800,3,88.2485649
235,4,0.005,0.0,800,3,88.25120059
236,4,0.01,0.01,800,3,88.25829818
237,8,0.03,0.001,800,1,89.8803638
238,8,0.005,0.01,800,1,89.90023401
239,8,0.005,0.001,800,3,90.05736559
240,8,0.005,0.0001,800,3,90.63652513
241,8,0.005,0.0,800,3,90.70096396
