rank,hidden_dim,lr,weight_decay,epochs,seed,accuracy,mean_unified_loss,mean_hard_score,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count
1,4,0.005,0.0,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
2,4,0.005,0.0001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
3,4,0.005,0.001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
4,4,0.005,0.01,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
5,4,0.01,0.0,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
6,4,0.01,0.0001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
7,4,0.01,0.001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
8,4,0.01,0.01,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
9,4,0.03,0.0,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
10,4,0.03,0.0001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
11,4,0.03,0.001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
12,4,0.03,0.01,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
13,4,0.05,0.0,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
14,4,0.05,0.0001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
15,4,0.05,0.001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
16,4,0.05,0.01,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
17,8,0.005,0.0,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
18,8,0.005,0.0001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
19,8,0.005,0.001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
20,8,0.005,0.01,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
21,8,0.01,0.0,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
22,8,0.01,0.0001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
23,8,0.01,0.001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
24,8,0.01,0.01,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
25,8,0.03,0.0,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
26,8,0.03,0.0001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
27,8,0.03,0.001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
28,8,0.03,0.01,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
29,8,0.05,0.0,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
30,8,0.05,0.0001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
31,8,0.05,0.001,600,1,0.5,0.62103808,52.22543391,143.25,25.25,178.2285,37.0
