rank,lr,weight_decay,epochs,seed,accuracy,mean_train_pair_accuracy,mean_unified_loss,mean_hard_score,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count
1,0.005,0.0,300,1,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
2,0.005,0.0,300,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
3,0.005,0.0,300,5,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
4,0.005,0.0,300,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
5,0.005,0.0,300,13,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
6,0.005,0.0,600,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
7,0.005,0.0,600,5,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
8,0.005,0.0,600,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
9,0.005,0.0,600,13,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
10,0.005,0.0,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
11,0.005,0.0,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
12,0.005,0.0,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
13,0.005,0.0001,300,1,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
14,0.005,0.0001,300,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
15,0.005,0.0001,300,5,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
16,0.005,0.0001,300,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
17,0.005,0.0001,300,13,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
18,0.005,0.0001,600,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
19,0.005,0.0001,600,5,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
20,0.005,0.0001,600,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
21,0.005,0.0001,600,13,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
22,0.005,0.0001,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
23,0.005,0.0001,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
24,0.005,0.0001,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
25,0.005,0.001,300,1,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
26,0.005,0.001,300,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
27,0.005,0.001,300,5,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
28,0.005,0.001,300,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
29,0.005,0.001,300,13,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
30,0.005,0.001,600,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
31,0.005,0.001,600,5,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
32,0.005,0.001,600,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
33,0.005,0.001,600,13,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
34,0.005,0.001,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
35,0.005,0.001,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
36,0.005,0.001,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
37,0.005,0.01,300,1,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
38,0.005,0.01,300,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
39,0.005,0.01,300,5,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
40,0.005,0.01,300,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
41,0.005,0.01,300,13,0.5,0.98308081,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
42,0.005,0.01,600,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
