sample_id,good_method,bad_method,good_score,bad_score,score_delta
pair_006,b1_conservative,b1_dense_thread,111.98648019333334,567.3382609566667,455.3517807633333
pair_006,b1_conservative,b1_low_connect,111.98648019333334,128.95660730666665,16.97012711333332
pair_006,b1_conservative,b1_region_fill,111.98648019333334,530.1157887533333,418.1293085599999
pair_006,b1_conservative,b2_graph_tsp_conservative_safe,111.98648019333334,112.08291417000001,0.09643397666667397
pair_006,b1_conservative,b2_graph_tsp_safe,111.98648019333334,117.76679568666667,5.780315493333333
pair_006,b1_low_connect,b1_dense_thread,128.95660730666665,567.3382609566667,438.38165365
pair_006,b1_region_fill,b1_dense_thread,530.1157887533333,567.3382609566667,37.22247220333338
pair_006,b2_graph_tsp_conservative_safe,b1_dense_thread,112.08291417000001,567.3382609566667,455.2553467866667
pair_006,b2_graph_tsp_safe,b1_dense_thread,117.76679568666667,567.3382609566667,449.57146527
pair_006,b1_low_connect,b1_region_fill,128.95660730666665,530.1157887533333,401.1591814466666
pair_006,b2_graph_tsp_conservative_safe,b1_low_connect,112.08291417000001,128.95660730666665,16.873693136666645
pair_006,b2_graph_tsp_safe,b1_low_connect,117.76679568666667,128.95660730666665,11.189811619999986
pair_006,b2_graph_tsp_conservative_safe,b1_region_fill,112.08291417000001,530.1157887533333,418.0328745833333
pair_006,b2_graph_tsp_safe,b1_region_fill,117.76679568666667,530.1157887533333,412.3489930666666
pair_006,b2_graph_tsp_conservative_safe,b2_graph_tsp_safe,112.08291417000001,117.76679568666667,5.683881516666659
pair_008,b1_conservative,b1_dense_thread,25.232084753333336,36.742553306666665,11.510468553333329
pair_008,b1_low_connect,b1_conservative,24.475115323333334,25.232084753333336,0.7569694300000016
pair_008,b1_conservative,b1_region_fill,25.232084753333336,33.68960109333333,8.457516339999994
pair_008,b2_graph_tsp_conservative_safe,b1_conservative,23.73451052333333,25.232084753333336,1.497574230000005
pair_008,b2_graph_tsp_safe,b1_conservative,23.73451052333333,25.232084753333336,1.497574230000005
pair_008,b1_low_connect,b1_dense_thread,24.475115323333334,36.742553306666665,12.26743798333333
pair_008,b1_region_fill,b1_dense_thread,33.68960109333333,36.742553306666665,3.0529522133333344
pair_008,b2_graph_tsp_conservative_safe,b1_dense_thread,23.73451052333333,36.742553306666665,13.008042783333334
pair_008,b2_graph_tsp_safe,b1_dense_thread,23.73451052333333,36.742553306666665,13.008042783333334
pair_008,b1_low_connect,b1_region_fill,24.475115323333334,33.68960109333333,9.214485769999996
pair_008,b2_graph_tsp_conservative_safe,b1_low_connect,23.73451052333333,24.475115323333334,0.7406048000000034
pair_008,b2_graph_tsp_safe,b1_low_connect,23.73451052333333,24.475115323333334,0.7406048000000034
pair_008,b2_graph_tsp_conservative_safe,b1_region_fill,23.73451052333333,33.68960109333333,9.95509057
pair_008,b2_graph_tsp_safe,b1_region_fill,23.73451052333333,33.68960109333333,9.95509057
pair_010,b1_conservative,b1_dense_thread,29.495026566666667,62.05842406000001,32.56339749333334
pair_010,b1_conservative,b1_low_connect,29.495026566666667,37.84656752666666,8.351540959999994
pair_010,b1_conservative,b1_region_fill,29.495026566666667,54.72136686333333,25.226340296666663
pair_010,b1_conservative,b2_graph_tsp_conservative_safe,29.495026566666667,38.46796585333333,8.972939286666666
pair_010,b1_conservative,b2_graph_tsp_safe,29.495026566666667,40.404142033333336,10.90911546666667
pair_010,b1_low_connect,b1_dense_thread,37.84656752666666,62.05842406000001,24.211856533333346
pair_010,b1_region_fill,b1_dense_thread,54.72136686333333,62.05842406000001,7.337057196666677
pair_010,b2_graph_tsp_conservative_safe,b1_dense_thread,38.46796585333333,62.05842406000001,23.590458206666675
pair_010,b2_graph_tsp_safe,b1_dense_thread,40.404142033333336,62.05842406000001,21.65428202666667
pair_010,b1_low_connect,b1_region_fill,37.84656752666666,54.72136686333333,16.87479933666667
pair_010,b1_low_connect,b2_graph_tsp_conservative_safe,37.84656752666666,38.46796585333333,0.6213983266666716
pair_010,b1_low_connect,b2_graph_tsp_safe,37.84656752666666,40.404142033333336,2.5575745066666755
pair_010,b2_graph_tsp_conservative_safe,b1_region_fill,38.46796585333333,54.72136686333333,16.253401009999997
pair_010,b2_graph_tsp_safe,b1_region_fill,40.404142033333336,54.72136686333333,14.317224829999994
pair_010,b2_graph_tsp_conservative_safe,b2_graph_tsp_safe,38.46796585333333,40.404142033333336,1.936176180000004
pair_011a,b1_conservative,b1_dense_thread,44.05085513999999,116.14847061,72.09761547000002
pair_011a,b1_conservative,b1_low_connect,44.05085513999999,51.432506620000005,7.381651480000016
pair_011a,b1_conservative,b1_region_fill,44.05085513999999,114.64787655666666,70.59702141666668
pair_011a,b2_graph_tsp_conservative_safe,b1_conservative,42.39810170333333,44.05085513999999,1.6527534366666572
pair_011a,b2_graph_tsp_safe,b1_conservative,43.685718370000004,44.05085513999999,0.36513676999998523
pair_011a,b1_low_connect,b1_dense_thread,51.432506620000005,116.14847061,64.71596399
