rank,target,alpha,shrinkage,mean_unified_loss,mean_exec_score,mean_visual_risk,mean_jump_count,mean_trim_count,mean_jump_path_mm,mean_off_mask_stitch_length_mm,mean_visible_connector_count,mean_visible_connector_length_mm,mean_stitch_count,mean_stitch_path_mm,mean_hard_score,mean_hard_rank,mean_mean_rank
1,hard_rank,0.01,0.75,0.62136741,0.34354964,0.27781777,154.0,24.25,829.6763,176.8035,35.5,106.5476,3067.0,3021.2622,51.92763824,0.75,1.25
2,hard_rank,0.1,0.75,0.62136741,0.34354964,0.27781777,154.0,24.25,829.6763,176.8035,35.5,106.5476,3067.0,3021.2622,51.92763824,0.75,1.25
3,hard_rank,1.0,0.5,0.62136741,0.34354964,0.27781777,154.0,24.25,829.6763,176.8035,35.5,106.5476,3067.0,3021.2622,51.92763824,0.75,1.25
4,hard_rank,1.0,0.75,0.62136741,0.34354964,0.27781777,154.0,24.25,829.6763,176.8035,35.5,106.5476,3067.0,3021.2622,51.92763824,0.75,1.25
5,hard_rank,10.0,0.25,0.62136741,0.34354964,0.27781777,154.0,24.25,829.6763,176.8035,35.5,106.5476,3067.0,3021.2622,51.92763824,0.75,1.25
6,hard_rank,10.0,0.5,0.62136741,0.34354964,0.27781777,154.0,24.25,829.6763,176.8035,35.5,106.5476,3067.0,3021.2622,51.92763824,0.75,1.25
7,hard_rank,0.1,0.5,0.62136741,0.34354964,0.27781777,154.0,24.25,829.6763,176.0454,36.75,109.974225,3071.25,3021.264125,52.24954241,1.25,1.0
8,hard_rank,1.0,0.25,0.62136741,0.34354964,0.27781777,154.0,24.25,829.6763,176.0454,36.75,109.974225,3071.25,3021.264125,52.24954241,1.25,1.0
9,hard_rank,10.0,0.0,0.62136741,0.34354964,0.27781777,154.0,24.25,829.6763,176.0454,36.75,109.974225,3071.25,3021.264125,52.24954241,1.25,1.0
10,hard_score,0.1,0.75,0.63677208,0.34206658,0.2947055,130.75,25.25,783.3306,185.82805,37.0,110.029125,3097.0,3080.769175,52.69111166,2.25,1.25
11,mean_rank,100.0,0.5,0.63677208,0.34206658,0.2947055,130.75,25.25,783.3306,185.82805,37.0,110.029125,3097.0,3080.769175,52.69111166,2.25,1.25
