sample_id,method,unified_loss,hard_score,exec_score,visual_risk,quality_level,jump_count,trim_count,jump_path_mm,off_mask_stitch_length_mm,visible_connector_count,visible_connector_length_mm,stitch_count,stitch_path_mm,illegal_long_stitch_count,high_risk_jump_count,safe_connect_repairs,m2_hard_safe_filtered,m2_decode_penalty_sum,eval_json
pair_006,m2_edge_policy_top4,0.611964,97.1392515,0.311964,0.3,hard_fail,151,15,686.375,421.8983,111,359.9238,3075,3100.6829,6,0,,,,outputs/m2_dst_top4_pair_006/executability_eval.json
pair_008,m2_edge_policy_top4,0.55506913,12.40798996,0.34379806,0.21127107,hard_fail,135,23,743.6894,39.7567,1,2.3022,1960,2777.7019,0,0,,,,outputs/m2_dst_top4_pair_008/executability_eval.json
pair_010,m2_edge_policy_top4,0.64216055,25.55207305,0.36290935,0.2792512,hard_fail,371,26,1340.9173,62.1593,3,9.6256,4821,3804.8016,0,0,,,,outputs/m2_dst_top4_pair_010/executability_eval.json
pair_011a,m2_edge_policy_top4,0.62113533,31.51037283,0.32113533,0.3,hard_fail,114,17,597.9792,163.8339,15,51.1719,1228,1247.1828,1,0,,,,outputs/m2_dst_top4_pair_011a/executability_eval.json
pair_006,m2_1_balanced,0.61800603,97.15529353,0.31800603,0.3,hard_fail,150,16,687.6883,421.8983,111,359.9238,3082,3118.6639,6,0,3,66.0,15.591091483778586,outputs/m2_1_balanced_pair_006/executability_eval.json
pair_008,m2_1_balanced,0.55506913,12.40798996,0.34379806,0.21127107,hard_fail,135,23,743.6894,39.7567,1,2.3022,1960,2777.7019,0,0,0,10.0,0.6313836053032217,outputs/m2_1_balanced_pair_008/executability_eval.json
pair_010,m2_1_balanced,0.64362515,25.53353765,0.36437395,0.2792512,hard_fail,368,28,1386.686,62.1593,3,9.6256,4839,3817.4586,1,0,1,599.0,99.9154850317708,outputs/m2_1_balanced_pair_010/executability_eval.json
pair_011a,m2_1_balanced,0.62113533,31.51037283,0.32113533,0.3,hard_fail,114,17,597.9792,163.8339,15,51.1719,1228,1247.1828,1,0,0,0.0,0.0,outputs/m2_1_balanced_pair_011a/executability_eval.json
pair_006,m2_1_globalrepair8,0.61355038,94.99083788,0.31355038,0.3,hard_fail,96,16,548.4495,421.8983,111,359.9238,3146,3257.9075,6,0,55,66.0,15.591091483778586,outputs/m2_1_globalrepair8_pair_006/executability_eval.json
pair_008,m2_1_globalrepair8,0.55274224,11.48566307,0.34147117,0.21127107,hard_fail,112,23,670.9742,39.7567,1,2.3022,1991,2850.422,0,0,23,10.0,0.6313836053032217,outputs/m2_1_globalrepair8_pair_008/executability_eval.json
pair_010,m2_1_globalrepair8,0.62366424,16.03357674,0.34441304,0.2792512,hard_fail,131,28,762.9075,62.1593,3,9.6256,5123,4441.2608,1,0,233,599.0,99.9154850317708,outputs/m2_1_globalrepair8_pair_010/executability_eval.json
pair_011a,m2_1_globalrepair8,0.61963644,30.82887394,0.31963644,0.3,hard_fail,97,17,551.1387,163.8339,15,51.1719,1247,1294.0243,1,0,16,0.0,0.0,outputs/m2_1_globalrepair8_pair_011a/executability_eval.json
pair_006,m2_1_globalrepair12,0.60542704,94.45121454,0.30542704,0.3,hard_fail,82,15,482.0949,422.5263,111,359.9238,3167,3324.2657,6,0,62,66.0,15.591091483778586,outputs/m2_1_globalrepair12_pair_006/executability_eval.json
pair_008,m2_1_globalrepair12,0.55086676,10.95378759,0.3395957,0.21127107,hard_fail,100,22,612.3655,39.7567,1,2.3022,2009,2909.0319,0,0,29,10.0,0.6313836053032217,outputs/m2_1_globalrepair12_pair_008/executability_eval.json
pair_010,m2_1_globalrepair12,0.61946215,14.75937465,0.34021095,0.2792512,hard_fail,103,25,631.5922,62.1593,3,9.6256,5165,4572.5826,1,0,247,599.0,99.9154850317708,outputs/m2_1_globalrepair12_pair_010/executability_eval.json
pair_011a,m2_1_globalrepair12,0.61883166,30.58806916,0.31883166,0.3,hard_fail,91,17,525.9895,163.8339,15,51.1719,1256,1319.174,1,0,19,0.0,0.0,outputs/m2_1_globalrepair12_pair_011a/executability_eval.json
pair_006,m2_1_globalrepair20,0.58588764,94.05892514,0.28588764,0.3,hard_fail,74,12,433.9887,423.3043,111,359.9238,3181,3372.3745,6,0,66,66.0,15.591091483778586,outputs/m2_1_globalrepair20_pair_006/executability_eval.json
pair_008,m2_1_globalrepair20,0.55037097,10.8809168,0.3390999,0.21127107,hard_fail,97,21,596.8719,40.5377,1,2.3022,2013,2924.5259,0,0,30,10.0,0.6313836053032217,outputs/m2_1_globalrepair20_pair_008/executability_eval.json
pair_010,m2_1_globalrepair20,0.57193352,13.07644602,0.29268232,0.2792512,hard_fail,75,13,458.8226,62.8361,3,9.6256,5217,4745.361,1,0,260,599.0,99.9154850317708,outputs/m2_1_globalrepair20_pair_010/executability_eval.json
pair_011a,m2_1_globalrepair20,0.6120383,30.5900133,0.3120383,0.3,hard_fail,86,16,501.1968,165.9038,15,51.1719,1264,1343.9685,1,0,22,0.0,0.0,outputs/m2_1_globalrepair20_pair_011a/executability_eval.json
pair_006,m2_2_retrained_globalrepair20,0.57246313,93.87608813,0.27246313,0.3,hard_fail,70,10,389.4728,424.029,111,359.9238,3189,3387.4688,7,0,69,55.0,16.970204076924897,outputs/m2_2_retrained_globalrepair20_pair_006/executability_eval.json
pair_008,m2_2_retrained_globalrepair20,0.55037097,10.8809168,0.3390999,0.21127107,hard_fail,97,21,596.8719,40.5377,1,2.3022,2013,2924.4375,0,0,30,10.0,0.6266397606022799,outputs/m2_2_retrained_globalrepair20_pair_008/executability_eval.json
