selection,sample_id,source_name,category,task_profile,chosen_candidate,predicted_score,semantic_score,calibrated_score,coverage_floor,coverage_gate_mode,coverage_gate_baseline_candidate,coverage_gate_baseline_coverage,coverage_gate_baseline_jump,coverage_gate_jump_gain,coverage_gate_loss_slack,oracle_score,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,coverage_ratio,stitch_precision_ratio,risk_flags,risk_flag_count,risk_score,needs_review
incoming_balanced,pair_008,Incoming paired review,pair_008,balanced,mask_fill_edgewalk_nearestrow_rows16_p40,9.66295678,0.14450935,0.17088201,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,0.990137,16.0,0.0,,0.15571733,warning,0.15128003,16,3,0.0,0,0.990137,0.670418,quality_warning|high_loss|high_jump|low_precision,4,0.47917553,True
incoming_low_jump,pair_008,Incoming paired review,pair_008,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,10.16880604,0.09567226,0.11342086,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,0.990137,16.0,0.0,,0.15571733,warning,0.15128003,16,3,0.0,0,0.990137,0.670418,quality_warning|high_loss|high_jump|low_precision,4,0.47917553,True
public_balanced,qd_007,QuickDraw,moon,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,2.51027142,0.1381545,0.13545016,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.989225,15.0,0.0,,0.15688845,pass,0.1429188,15,3,0.0,0,0.989225,0.606869,high_loss|high_jump|low_precision,3,0.43070155,True
public_low_jump,qd_007,QuickDraw,moon,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.61716458,0.0660274,0.05942466,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.933862,14.0,0.0,,0.13462299,pass,0.12888579,14,2,0.0,0,0.933862,0.661752,high_loss|high_jump|low_precision,3,0.39294779,True
public_balanced,qd_001,QuickDraw,cat,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-4.56298951,0.07226619,0.06503957,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.972457,11.0,0.0,,0.10530968,pass,0.09780368,11,1,0.0,0,0.972457,0.64996,high_jump|low_precision,2,0.29281368,True
public_low_jump,qd_001,QuickDraw,cat,low_jump,mask_fill_edgewalk_nearestrow_rows16_p40,5.60248898,0.02540117,0.04786106,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,0.999605,10.0,0.0,,0.12813765,excellent,0.09974865,10,1,0.4714,0,0.999605,0.51074,low_precision,1,0.28770565,True
public_balanced,qd_004,QuickDraw,flower,balanced,skeleton_c30_m4,-4.77810272,0.16975437,0.16111227,0.85,safe_coverage,skeleton_c30_m4,0.989997,11.0,0.0,,0.09439353,pass,0.09116553,11,0,0.0,0,0.989997,0.67848,high_jump|low_precision,2,0.27504553,True
incoming_balanced,pair_006,Incoming paired review,pair_006,balanced,auto_evalrepair_r10_c20,-15.63247061,0.180988,0.19343331,0.85,benefit_tradeoff,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.996032,6.0,5.0,-0.01783598,0.0593456,excellent,0.038,1,5,0.0,0,0.696636,0.967827,high_trim|low_coverage,2,0.265682,True
incoming_low_jump,pair_006,Incoming paired review,pair_006,low_jump,auto_evalrepair_r10_c20,-15.91173965,0.18377412,0.15706136,0.85,benefit_tradeoff,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,1.0,5.0,4.0,-0.003512649999999999,0.0593456,excellent,0.038,1,5,0.0,0,0.696636,0.967827,high_trim|low_coverage,2,0.265682,True
public_low_jump,qd_004,QuickDraw,flower,low_jump,skeleton_c30_m20,-8.08366206,0.08212623,0.0739136,0.85,safe_coverage,skeleton_c30_m20,0.885724,9.0,0.0,,0.07951266,excellent,0.07485846,9,0,0.0,0,0.885724,0.668972,low_coverage|low_precision,2,0.25625346,True
