selection,source_name,category,samples,review_samples,review_rate,mean_risk_score,worst_risk_score,worst_sample_id,worst_flags,mean_unified_loss,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count,mean_coverage_ratio,mean_stitch_precision_ratio
incoming_balanced,Incoming paired review,pair_006,1,1,1.0,0.265682,0.265682,pair_006,high_trim|low_coverage,0.038,1.0,5.0,0.0,0.0,0.696636,0.967827
incoming_balanced,Incoming paired review,pair_008,1,1,1.0,0.47917553,0.47917553,pair_008,quality_warning|high_loss|high_jump|low_precision,0.15128003,16.0,3.0,0.0,0.0,0.990137,0.670418
incoming_balanced,Incoming paired review,pair_010,1,0,0.0,0.13908601,0.13908601,pair_010,,0.08108601,9.0,1.0,0.0,0.0,0.997482,0.94671
incoming_balanced,Incoming paired review,pair_011a,1,1,1.0,0.13833759,0.13833759,pair_011a,low_precision,0.02495959,3.0,0.0,0.0,0.0,0.998544,0.568488
incoming_low_jump,Incoming paired review,pair_006,1,1,1.0,0.265682,0.265682,pair_006,high_trim|low_coverage,0.038,1.0,5.0,0.0,0.0,0.696636,0.967827
incoming_low_jump,Incoming paired review,pair_008,1,1,1.0,0.47917553,0.47917553,pair_008,quality_warning|high_loss|high_jump|low_precision,0.15128003,16.0,3.0,0.0,0.0,0.990137,0.670418
incoming_low_jump,Incoming paired review,pair_010,1,0,0.0,0.13908601,0.13908601,pair_010,,0.08108601,9.0,1.0,0.0,0.0,0.997482,0.94671
incoming_low_jump,Incoming paired review,pair_011a,1,1,1.0,0.13833759,0.13833759,pair_011a,low_precision,0.02495959,3.0,0.0,0.0,0.0,0.998544,0.568488
public_balanced,OpenMoji,butterfly,1,0,0.0,0.14846574,0.14846574,omj_003,,0.08646574,9.0,2.0,0.0,0.0,1.0,0.896875
public_balanced,OpenMoji,cherry_blossom,1,0,0.0,0.0426882,0.0426882,omj_006,,0.0246882,3.0,0.0,0.0,0.0,0.992683,0.916022
public_balanced,OpenMoji,fish,1,1,1.0,0.14901926,0.14901926,omj_004,off_mask,0.04876926,3.0,0.0,1.075,0.0,0.997043,0.950702
public_balanced,OpenMoji,heart,1,1,1.0,0.14,0.14,omj_001,high_trim,0.054,0.0,9.0,0.0,0.0,0.955519,0.917291
public_balanced,OpenMoji,lady_beetle,1,0,0.0,0.09602895,0.09602895,omj_009,,0.05602895,6.0,1.0,0.0,0.0,0.994021,0.927864
public_balanced,OpenMoji,paw_prints,1,0,0.0,0.16294591,0.16294591,omj_008,,0.09494591,10.0,2.0,0.0,0.0,0.995796,0.884987
public_balanced,OpenMoji,ribbon,1,0,0.0,0.15320968,0.15320968,omj_007,,0.08920968,10.0,1.0,0.0,0.0,0.998053,0.937076
public_balanced,OpenMoji,seedling,1,0,0.0,0.09566039,0.09566039,omj_010,,0.05566039,6.0,1.0,0.0,0.0,0.988723,0.848344
public_balanced,OpenMoji,star,1,0,0.0,0.04270419,0.04270419,omj_002,,0.02470419,3.0,0.0,0.0,0.0,1.0,0.875953
public_balanced,OpenMoji,sun,1,0,0.0,0.15306568,0.15306568,omj_005,,0.08906568,10.0,1.0,0.0,0.0,0.997342,0.947187
public_balanced,Openclipart,butterfly,1,0,0.0,0.02845384,0.02845384,ocp_002,,0.01645384,2.0,0.0,0.0,0.0,0.971346,0.943255
public_balanced,Openclipart,butterfly_2,1,0,0.0,0.1102997,0.1102997,ocp_006,,0.0642997,7.0,1.0,0.0,0.0,0.985939,0.956797
public_balanced,Openclipart,cat,1,0,0.0,0.05713396,0.05713396,ocp_003,,0.03313396,4.0,0.0,0.0,0.0,0.995802,0.933175
public_balanced,Openclipart,fish,1,0,0.0,0.08559581,0.08559581,ocp_008,,0.04959581,6.0,0.0,0.0,0.0,0.998761,0.836391
public_balanced,Openclipart,flower,1,0,0.0,0.15327397,0.15327397,ocp_001,,0.08927397,10.0,1.0,0.0,0.0,0.988461,0.833711
public_balanced,Openclipart,flower_2,1,0,0.0,0.04274275,0.04274275,ocp_009,,0.02474275,3.0,0.0,0.0,0.0,0.99727,0.765745
public_balanced,Openclipart,koi_fish,1,0,0.0,0.12431227,0.12431227,ocp_004,,0.07231227,8.0,1.0,0.0,0.0,0.986799,0.922549
public_balanced,Openclipart,public_domain_logo,1,0,0.0,0.05711236,0.05711236,ocp_005,,0.03311236,4.0,0.0,0.0,0.0,1.0,0.964093
public_balanced,Openclipart,sitting_cat,1,0,0.0,0.0834147,0.0834147,ocp_007,,0.0445497,4.0,0.0,0.4955,0.0,1.0,0.874258
