selection,source_name,samples,review_samples,review_rate,mean_risk_score,worst_risk_score,worst_sample_id,worst_flags,mean_unified_loss,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count,mean_coverage_ratio,mean_stitch_precision_ratio
incoming_balanced,Incoming paired review,4,3,0.75,0.25557028,0.47917553,pair_008,quality_warning|high_loss|high_jump|low_precision,0.07383141,7.25,2.25,0.0,0.0,0.92069975,0.78836075
incoming_low_jump,Incoming paired review,4,3,0.75,0.25557028,0.47917553,pair_008,quality_warning|high_loss|high_jump|low_precision,0.07383141,7.25,2.25,0.0,0.0,0.92069975,0.78836075
public_balanced,OpenMoji,10,2,0.2,0.1183788,0.16294591,omj_008,,0.0623538,6.0,1.7,0.1075,0.0,0.991918,0.9102301
public_balanced,Openclipart,10,1,0.1,0.09118839,0.1695445,ocp_010,low_coverage,0.04354744,4.9,0.3,0.04955,0.0,0.9613289,0.9018002
public_balanced,QuickDraw,8,8,1.0,0.2277925,0.43070155,qd_007,high_loss|high_jump|low_precision,0.06820688,7.75,0.625,0.0,0.0,0.98507387,0.6076575
public_balanced,Rendered text,5,3,0.6,0.08089113,0.14615769,txt_005,low_precision,0.02294878,2.8,0.0,0.0,0.0,0.9986696,0.7246506
public_low_jump,OpenMoji,10,2,0.2,0.10897789,0.14901926,omj_004,off_mask,0.05646639,5.3,1.5,0.15705,0.0,0.9936241,0.8880927
public_low_jump,Openclipart,10,2,0.2,0.09810027,0.24588679,ocp_001,off_mask,0.04136302,3.7,0.1,0.45276,0.0,0.9638887,0.8829867
public_low_jump,QuickDraw,8,8,1.0,0.21775217,0.39294779,qd_007,high_loss|high_jump|low_precision,0.06470702,7.25,0.5,0.058925,0.0,0.96927937,0.60545938
public_low_jump,Rendered text,5,3,0.6,0.08089113,0.14615769,txt_005,low_precision,0.02294878,2.8,0.0,0.0,0.0,0.9986696,0.7246506
