variant,result_dir,hard_fail,mean_loss,mean_jump,mean_off_mask,mean_visible,mean_coverage,mean_precision,quickdraw_loss,quickdraw_jump,quickdraw_coverage,quickdraw_precision,text_loss,text_jump,text_coverage,text_precision,qd_007_loss,qd_007_jump,qd_007_off_mask,qd_007_visible,qd_007_quality
d3_c18_i070_min4,results/public_benchmark_v1_ext33_m2_56_line_stroke_d3_c18,7,0.141741,7.333333,4.107309,0.939394,0.928516,0.841127,0.336172,15.0,0.978795,0.684341,0.201957,6.4,0.647108,0.914335,0.29104272,27,2.8509,0,hard_fail
d0_c8_i095_min4,results/public_benchmark_v1_ext33_m2_56_line_stroke_d0_c8_i095,1,0.085784,9.272727,0.184791,0.0,0.923692,0.848332,0.176053,20.375,0.972131,0.699685,0.08883,10.6,0.625933,0.937338,0.2272592,28,0.0,0,hard_fail
d1_c10_i090_min4,results/public_benchmark_v1_ext33_m2_56_line_stroke_d1_c10_i090,1,0.086785,8.909091,0.362576,0.0,0.923977,0.847864,0.182225,19.125,0.972519,0.697913,0.085562,10.2,0.62719,0.937084,0.2272592,28,0.0,0,hard_fail
d1_c6_i095_min8,results/public_benchmark_v1_ext33_m2_56_line_stroke_d1_c6_i095,1,0.087858,9.393939,0.225048,0.0,0.916233,0.848548,0.185582,21.0,0.945046,0.697814,0.087271,10.4,0.620038,0.941756,0.22691637,29,0.0,0,hard_fail
d0_c12_i090_min8,results/public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090,1,0.08307,8.757576,0.225048,0.0,0.918289,0.847926,0.168951,18.75,0.950923,0.696611,0.082283,9.8,0.624204,0.939575,0.22641077,27,0.0,0,hard_fail
d0_c12_i090_min12,results/public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min12,1,0.083119,8.787879,0.205261,0.0,0.910562,0.847799,0.169135,18.875,0.926212,0.695467,0.082313,9.8,0.612747,0.940565,0.22640238,26,0.0,0,hard_fail
d0_c12_i090_min20,results/public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min20,0,0.081591,8.69697,0.184791,0.0,0.895833,0.847359,0.164892,18.75,0.88612,0.693338,0.079016,9.4,0.57968,0.941071,0.21132887,24,0.0,0,warning
d0_c12_i090_min30,results/public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min30,0,0.080492,8.454545,0.184791,0.0,0.883959,0.847001,0.160356,17.75,0.837139,0.69186,0.079016,9.4,0.57968,0.941071,0.20318683,23,0.0,0,warning
d1_c12_i090_min20,results/public_benchmark_v1_ext33_m2_56_line_stroke_d1_c12_i090_min20,0,0.088014,8.515152,0.494767,0.030303,0.896213,0.846938,0.191388,18.0,0.887686,0.691601,0.079016,9.4,0.57968,0.941071,0.23990319,23,1.6317,0,warning
d2_c12_i085_min20,results/public_benchmark_v1_ext33_m2_56_line_stroke_d2_c12_i085_min20,1,0.099483,8.333333,1.028909,0.090909,0.897092,0.845743,0.222871,17.625,0.888459,0.689838,0.104336,8.8,0.584247,0.936001,0.23990319,23,1.6317,0,warning
