variant,result_dir,hard_fail,mean_loss,mean_jump,mean_off_mask,mean_visible,mean_coverage,mean_precision,quickdraw_loss,quickdraw_jump,quickdraw_coverage,quickdraw_precision,text_loss,text_jump,text_coverage,text_precision,qd_007_loss,qd_007_jump,qd_007_coverage,qd_007_precision,qd_007_off_mask,qd_007_visible,qd_007_quality
d0_c12_i090_min12,results/public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12,0,0.072897,7.606061,0.201476,0.0,0.911819,0.848235,0.131391,14.625,0.933412,0.696657,0.075237,8.8,0.60952,0.94154,0.13446014,14,0.949963,0.66115,0.5506,0,pass
d0_c12_i090_min20,results/public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20,0,0.073037,7.666667,0.184791,0.0,0.897314,0.847592,0.134103,15.125,0.892155,0.694096,0.071819,8.4,0.5798,0.941395,0.14738852,17,0.897325,0.654472,0.0,0,warning
d0_c12_i090_min30,results/public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30,0,0.072276,7.575758,0.184791,0.0,0.883084,0.8471,0.130965,14.75,0.833454,0.692067,0.071819,8.4,0.5798,0.941395,0.14740599,17,0.881719,0.655344,0.0,0,warning
d0_c16_i085_min20,results/public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20,0,0.072502,7.545455,0.205373,0.0,0.897443,0.847338,0.131899,14.625,0.892686,0.69305,0.071819,8.4,0.5798,0.941395,0.14738852,17,0.897325,0.654472,0.0,0,warning
d1_c16_i085_min20,results/public_benchmark_v1_ext33_m2_57_topology_open_d1_c16_i085_min20,0,0.085796,7.333333,0.746655,0.090909,0.898712,0.846442,0.180574,13.875,0.896897,0.690691,0.081678,8.2,0.581439,0.939253,0.2039994,15,0.904384,0.652081,3.2426,0,pass
d1_c20_i080_min20,results/public_benchmark_v1_ext33_m2_57_topology_open_d1_c20_i080_min20,2,0.091733,7.090909,1.245791,0.181818,0.900782,0.845362,0.182853,13.375,0.901494,0.690282,0.117215,7.4,0.587746,0.932776,0.2039994,15,0.904384,0.652081,3.2426,0,pass
d2_c20_i075_min20,results/public_benchmark_v1_ext33_m2_57_topology_open_d2_c20_i075_min20,4,0.111479,6.848485,2.039176,0.393939,0.901188,0.844114,0.233721,12.75,0.901593,0.687931,0.166153,6.8,0.590267,0.928302,0.2039994,15,0.904384,0.652081,3.2426,0,pass
d0_c20_i080_min30,results/public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30,0,0.073353,7.393939,0.299555,0.0,0.884788,0.846919,0.135407,14.0,0.840486,0.691319,0.071819,8.4,0.5798,0.941395,0.17544256,16,0.888779,0.654148,1.6109,0,warning
d0_c20_i080_min40,results/public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min40,0,0.06966,6.818182,0.354512,0.0,0.863758,0.845623,0.119843,12.0,0.77712,0.687716,0.072351,7.8,0.542387,0.93861,0.17544256,16,0.888779,0.654148,1.6109,0,warning
d0_c24_i075_min40,results/public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min40,0,0.072025,6.757576,0.481994,0.0,0.865706,0.844493,0.119843,12.0,0.77712,0.687716,0.087957,7.4,0.555244,0.93115,0.17544256,16,0.888779,0.654148,1.6109,0,warning
d1_c24_i075_min40,results/public_benchmark_v1_ext33_m2_57_topology_open_d1_c24_i075_min40,1,0.093,6.484848,1.369709,0.212121,0.867177,0.842191,0.161182,11.5,0.777631,0.685196,0.160254,6.4,0.564134,0.919989,0.17544256,16,0.888779,0.654148,1.6109,0,warning
d0_c24_i075_min60,results/public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min60,0,0.064399,6.454545,0.264142,0.0,0.828975,0.843435,0.101161,11.25,0.678298,0.687948,0.067517,6.6,0.470929,0.923792,0.13919731,16,0.854595,0.655271,0.0,0,warning
d1_c24_i070_min60,results/public_benchmark_v1_ext33_m2_57_topology_open_d1_c24_i070_min60,2,0.088376,6.121212,1.293227,0.242424,0.831818,0.840317,0.156107,10.75,0.683058,0.685231,0.13785,5.2,0.482082,0.90756,0.13919731,16,0.854595,0.655271,0.0,0,warning
d0_c30_i070_min80,results/public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min80,0,0.073563,5.787879,0.741488,0.121212,0.797953,0.816617,0.119057,9.5,0.615506,0.687118,0.099367,5.0,0.366656,0.748124,0.13919731,16,0.854595,0.655271,0.0,0,warning
d0_c30_i070_min100,results/public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,0,0.057846,5.0,0.455361,0.060606,0.755302,0.819447,0.099104,7.375,0.541325,0.687358,0.02756,3.2,0.203847,0.766418,0.11413105,13,0.723805,0.657442,0.0,0,pass
d1_c30_i065_min80,results/public_benchmark_v1_ext33_m2_57_topology_open_d1_c30_i065_min80,0,0.084884,5.666667,1.115518,0.242424,0.798287,0.815939,0.153503,9.125,0.616845,0.68533,0.118973,4.8,0.36672,0.746514,0.13919731,16,0.854595,0.655271,0.0,0,warning
