variant,hard_fail,mean_loss,mean_jump,mean_off,mean_visible,mean_coverage,mean_precision,quickdraw_loss,quickdraw_jump,quickdraw_coverage,quickdraw_precision,text_loss,text_jump,text_coverage,text_precision,qd007_loss,qd007_jump,qd007_off,qd007_coverage,qd007_precision
g_d0_c16_i085_s4_min12_p80,0,0.076439,7.454545,0.363309,0.030303,0.913969,0.846969,0.136095,14.625,0.934056,0.69502,0.091087,7.8,0.622677,0.935804,0.13834676,16,0.0,0.949963,0.661435
g_d0_c16_i090_s3_min20_p80,0,0.072424,7.515152,0.205373,0.0,0.898655,0.846862,0.134654,14.875,0.895011,0.693072,0.06689,7.8,0.584083,0.938214,0.14671444,17,0.0,0.912187,0.656944
g_d0_c18_i092_s4_min12_p100,0,0.072417,7.515152,0.205373,0.0,0.91324,0.847272,0.133548,14.75,0.933993,0.695064,0.068617,8.0,0.617972,0.937736,0.13834676,16,0.0,0.949963,0.661435
g_d0_c18_i095_s3_min12_p120,0,0.072417,7.515152,0.205373,0.0,0.91324,0.847272,0.133548,14.75,0.933993,0.695064,0.068617,8.0,0.617972,0.937736,0.13834676,16,0.0,0.949963,0.661435
g_d0_c20_i080_s5_min12_p80,0,0.08016,7.242424,0.607524,0.030303,0.91611,0.84648,0.140143,13.875,0.940052,0.694496,0.109167,7.6,0.627215,0.933414,0.15032369,13,1.6317,0.987986,0.662652
g_d0_c20_i090_s4_min12_p100,0,0.072118,7.363636,0.248039,0.0,0.914975,0.847101,0.129376,14.25,0.939988,0.694838,0.073319,7.8,0.619826,0.936969,0.12174937,14,0.0,0.987986,0.66381
g_d0_c20_i095_s4_min12_p100,0,0.071406,7.393939,0.205373,0.0,0.914694,0.847218,0.129376,14.25,0.939988,0.694838,0.068617,8.0,0.617972,0.937736,0.12174937,14,0.0,0.987986,0.66381
g_d0_c24_i075_s6_min20_p80,2,0.095425,6.848485,1.288242,0.151515,0.90512,0.844253,0.158783,13.125,0.907744,0.691557,0.180091,6.2,0.606377,0.92342,0.18672792,13,3.2426,0.95727,0.657228
g_d0_c30_i070_s8_min30_p100,5,0.117755,6.30303,2.723082,0.484848,0.892273,0.839518,0.205695,12.5,0.848866,0.686953,0.252414,3.6,0.615793,0.899532,0.19111767,13,3.4377,0.942779,0.657454
g_d1_c20_i075_s5_min12_p80,2,0.103796,6.848485,1.632648,0.242424,0.917405,0.844468,0.194864,13.0,0.940683,0.692333,0.177615,6.4,0.634756,0.923599,0.15035031,13,1.6317,0.987986,0.662652
