candidate,samples,mean_unified_loss,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count,mean_coverage_ratio,mean_stitch_precision_ratio,mean_adaptive_coverage_ratio,mean_adaptive_stitch_precision_ratio,mean_overfill_outside_adaptive_ratio
public_benchmark_v1_ext33_m2_56_line_stroke_d1_c6_i095,5,0.08727094,10.4,0.2,0.0,0.0,0.6200382,0.9417558,0.524375,0.9919516,0.0080484
public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12,5,0.075236708,8.8,0.4,0.0,0.0,0.6095204,0.9415399999999999,0.5155462,0.99182,0.00818
public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20,5,0.07181886,8.4,0.4,0.0,0.0,0.5798,0.941395,0.4903302,0.9918104,0.0081896
public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30,5,0.07181886,8.4,0.4,0.0,0.0,0.5798,0.941395,0.4903302,0.9918104,0.0081896
public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20,5,0.07181886,8.4,0.4,0.0,0.0,0.5798,0.941395,0.4903302,0.9918104,0.0081896
public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30,5,0.07181886,8.4,0.4,0.0,0.0,0.5798,0.941395,0.4903302,0.9918104,0.0081896
public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min40,5,0.072351206,7.8,0.4,0.24211999999999997,0.0,0.5423868000000001,0.9386102,0.4594292,0.9912536,0.0087464
public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min12,5,0.08231252,9.8,0.2,0.0,0.0,0.6127468,0.9405646,0.5185223999999999,0.9912518,0.008748200000000001
public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min20,5,0.079015916,9.4,0.2,0.0,0.0,0.57968,0.9410714,0.4901704,0.9912142,0.0087858
public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min30,5,0.079015916,9.4,0.2,0.0,0.0,0.57968,0.9410714,0.4901704,0.9912142,0.0087858
public_benchmark_v1_ext33_m2_56_line_stroke_d1_c12_i090_min20,5,0.079015916,9.4,0.2,0.0,0.0,0.57968,0.9410714,0.4901704,0.9912142,0.0087858
public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090,5,0.08228337,9.8,0.2,0.0,0.0,0.6242044,0.9395751999999999,0.5287064,0.9911712,0.0088288
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c18_i092_s4_min12_p100,5,0.068617242,8.0,0.4,0.0,0.0,0.617972,0.9377358,0.5246204,0.9909142,0.0090858
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c18_i095_s3_min12_p120,5,0.068617242,8.0,0.4,0.0,0.0,0.617972,0.9377358,0.5246204,0.9909142,0.0090858
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c20_i095_s4_min12_p100,5,0.068617242,8.0,0.4,0.0,0.0,0.617972,0.9377358,0.5246204,0.9909142,0.0090858
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c16_i090_s3_min20_p80,5,0.06688994200000001,7.8,0.4,0.0,0.0,0.5840826,0.9382136,0.4954736,0.9909014,0.0090986
public_benchmark_v1_ext33_m2_57_topology_open_d1_c16_i085_min20,5,0.081678446,8.2,0.4,0.51204,0.0,0.581439,0.9392532,0.492408,0.9908958,0.0091042
public_benchmark_v1_ext33_m2_56_line_stroke_d0_c8_i095,5,0.088830306,10.6,0.2,0.0,0.0,0.6259332,0.937338,0.5311502,0.9908794,0.0091206
public_benchmark_v1_ext33_m2_56_line_stroke_d1_c10_i090,5,0.085562466,10.2,0.2,0.0,0.0,0.6271896,0.9370838,0.5323314,0.990819,0.009181
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c20_i090_s4_min12_p100,5,0.07331944800000001,7.8,0.4,0.28159999999999996,0.0,0.6198256,0.9369686,0.526397,0.990354,0.009646
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c16_i085_s4_min12_p80,5,0.091087462,7.8,0.4,0.78718,0.2,0.6226766,0.9358042,0.529174,0.9901908,0.0098092
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r0_c20_i095_route24_f20_min12,5,0.065280798,7.6,0.4,0.0,0.0,0.622779,0.9336284,0.5303869999999999,0.989548,0.010452
public_benchmark_v1_ext33_m2_56_line_stroke_d2_c12_i085_min20,5,0.10433550999999999,8.8,0.2,1.34534,0.0,0.5842466,0.9360006,0.495823,0.9894094,0.0105906
public_benchmark_v1_ext33_auto_hybrid_skeleton_connect12_trimcap20,5,0.078963438,9.4,0.2,0.0,0.0,0.63158,0.9335234,0.537033,0.9888176,0.0111824
public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min60,5,0.067516542,6.6,0.2,0.52372,0.0,0.4709294,0.923792,0.4021786,0.9887079999999999,0.011292
public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min40,5,0.08795679,7.4,0.4,1.0835,0.0,0.5552442,0.9311504,0.4725306,0.9885552,0.0114448
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c20_i080_s5_min12_p80,5,0.109167074,7.6,0.4,1.6687800000000002,0.2,0.6272148,0.9334136,0.5336914,0.9885108,0.0114892
public_benchmark_v1_ext33_m2_57_topology_open_d1_c20_i080_min20,5,0.11721511,7.4,0.4,2.18572,0.2,0.587746,0.9327758,0.5001306,0.9882366,0.0117634
public_benchmark_v1_ext33_m2_57_topology_open_d2_c20_i075_min20,5,0.166152728,6.8,0.4,4.16544,0.8,0.590267,0.9283024,0.503237,0.9851898,0.014810199999999999
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d1_c20_i075_s5_min12_p80,5,0.17761498,6.4,0.4,4.8138000000000005,1.0,0.634756,0.9235992,0.5433226,0.9837596,0.0162404
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c24_i075_s6_min20_p80,5,0.18009097799999998,6.2,0.4,4.3963399999999995,1.0,0.6063769999999999,0.9234198,0.5190154,0.9837262,0.0162738
public_benchmark_v1_ext33_m2_57_topology_open_d1_c24_i075_min40,5,0.160253542,6.4,0.4,3.79638,0.6,0.564134,0.9199885999999999,0.48326900000000006,0.982967,0.017033
public_benchmark_v1_ext33_auto_hybrid_r10_c16_trimcap20,5,0.06411448,7.6,0.2,0.0,0.0,0.6399114,0.9214244,0.5479736,0.9828138,0.0171862
