metric,m2_64,m2_66,delta
mean_unified_loss,0.0512993,0.05462533,0.00332603
mean_jump_count,5.18181818,5.51515152,0.33333334
mean_trim_count,0.6969697,0.78787879,0.09090909
mean_off_mask_stitch_length_mm,0.18479091,0.18479091,0.0
mean_visible_connector_count,0.0,0.0,0.0
mean_coverage_ratio,0.97786685,0.97742458,-0.00044227
mean_stitch_precision_ratio,0.81689582,0.82380788,0.00691206
mean_adaptive_coverage_ratio,0.93727297,0.9346377,-0.00263527
mean_adaptive_stitch_precision_ratio,0.95116848,0.95757112,0.00640264
mean_overfill_outside_adaptive_ratio,0.04883152,0.04242888,-0.00640264
low_strict_precision_samples,9,8,-1.0
low_adaptive_precision_samples,4,3,-1.0
mean_risk_score,0.09592804,0.09933872,0.00341068
review_samples,13,13,0.0
