candidate,sample_id,category,unified_loss,quality_level,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,dst_path,target_mask_path,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm
public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20,qd_001,cat,,,,,,,results\public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,7588,11839,10669,7157,3512,10301,368,0.9432,0.670822,0.87009,0.965508,0.034492,2,2,90.0
public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20,qd_002,dog,,,,,,,results\public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,8242,12300,10893,7949,2944,10576,317,0.96445,0.729735,0.859837,0.970899,0.029101,2,2,90.0
public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20,qd_003,fish,,,,,,,results\public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20\qd_003\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_003_mask.png,5046,7947,7756,5015,2741,7427,329,0.993857,0.646596,0.934567,0.957581,0.042419,2,2,90.0
public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20,qd_004,flower,,,,,,,results\public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_004_mask.png,5898,9169,8394,5832,2562,8079,315,0.98881,0.694782,0.881121,0.962473,0.037527,2,2,90.0
public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20,qd_005,bicycle,,,,,,,results\public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_005_mask.png,7540,11320,10464,1924,8540,2862,7602,0.255172,0.183869,0.252827,0.273509,0.726491,2,2,90.0
public_benchmark_v1_core20_source_aware_hybrid_skeleton,qd_001,cat,,,,,,,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,7588,11839,10374,7086,3288,10184,190,0.933843,0.683054,0.860208,0.981685,0.018315,2,2,90.0
public_benchmark_v1_core20_source_aware_hybrid_skeleton,qd_002,dog,,,,,,,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,8242,12300,10485,7891,2594,10381,104,0.957413,0.752599,0.843984,0.990081,0.009919,2,2,90.0
public_benchmark_v1_core20_source_aware_hybrid_skeleton,qd_003,fish,,,,,,,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton\qd_003\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_003_mask.png,5046,7947,7277,4864,2413,7170,107,0.963932,0.668407,0.902227,0.985296,0.014704,2,2,90.0
public_benchmark_v1_core20_source_aware_hybrid_skeleton,qd_004,flower,,,,,,,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_004_mask.png,5898,9169,8066,5811,2255,7996,70,0.985249,0.720431,0.872069,0.991322,0.008678,2,2,90.0
public_benchmark_v1_core20_source_aware_hybrid_skeleton,qd_005,bicycle,,,,,,,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_005_mask.png,7540,11320,9983,1795,8188,2657,7326,0.238064,0.179806,0.234717,0.266152,0.733848,2,2,90.0
