candidate,samples,mean_unified_loss,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count,mean_coverage_ratio,mean_stitch_precision_ratio,mean_adaptive_coverage_ratio,mean_adaptive_stitch_precision_ratio,low_strict_precision,low_adaptive_precision
public_benchmark_v1_ext33_m2_56_line_stroke_d0_c8_i095,8,0.0,0.0,0.0,0.0,0.0,0.97213125,0.69968487,0.887162,0.98714587,8,0
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_inset2_rows16_p40,8,0.0,0.0,0.0,0.0,0.0,0.96041062,0.69961063,0.83927625,0.945657,8,0
public_benchmark_v1_ext33_m2_56_line_stroke_d1_c10_i090,8,0.0,0.0,0.0,0.0,0.0,0.97251888,0.69791313,0.88860525,0.98589563,8,0
public_benchmark_v1_ext33_m2_56_line_stroke_d1_c6_i095,8,0.0,0.0,0.0,0.0,0.0,0.94504575,0.69781437,0.86499512,0.987274,7,0
public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12,8,0.0,0.0,0.0,0.0,0.0,0.93341175,0.69665738,0.85558825,0.98707762,7,0
public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090,8,0.0,0.0,0.0,0.0,0.0,0.95092325,0.696611,0.8714845,0.9867345,8,0
public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min12,8,0.0,0.0,0.0,0.0,0.0,0.92621225,0.69546712,0.849897,0.98645337,8,0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c18_i092_s4_min12_p100,8,0.0,0.0,0.0,0.0,0.0,0.93399287,0.69506413,0.8572055,0.98618887,7,0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c18_i095_s3_min12_p120,8,0.0,0.0,0.0,0.0,0.0,0.93399287,0.69506413,0.8572055,0.98618887,7,0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c16_i085_s4_min12_p80,8,0.0,0.0,0.0,0.0,0.0,0.9340565,0.69501963,0.85724638,0.98610775,7,0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c20_i090_s4_min12_p100,8,0.0,0.0,0.0,0.0,0.0,0.93998837,0.69483825,0.86278062,0.9859015,7,0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c20_i095_s4_min12_p100,8,0.0,0.0,0.0,0.0,0.0,0.93998837,0.69483825,0.86278062,0.9859015,7,0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c20_i080_s5_min12_p80,8,0.0,0.0,0.0,0.0,0.0,0.940052,0.69449587,0.86291887,0.98550887,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20,8,0.0,0.0,0.0,0.0,0.0,0.89215537,0.69409612,0.82051138,0.98681062,7,0
public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min20,8,0.0,0.0,0.0,0.0,0.0,0.88612037,0.69333775,0.81596275,0.98679575,8,0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c16_i090_s3_min20_p80,8,0.0,0.0,0.0,0.0,0.0,0.89501113,0.69307213,0.82355287,0.98597475,7,0
public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20,8,0.0,0.0,0.0,0.0,0.0,0.89268587,0.69304988,0.82160462,0.98613225,7,0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d1_c20_i075_s5_min12_p80,8,0.0,0.0,0.0,0.0,0.0,0.94068337,0.69233338,0.863701,0.98270638,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30,8,0.0,0.0,0.0,0.0,0.0,0.83345438,0.69206675,0.76923688,0.98681812,8,0
public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min30,8,0.0,0.0,0.0,0.0,0.0,0.83713863,0.69185988,0.77260725,0.986485,8,0
public_benchmark_v1_ext33_m2_56_line_stroke_d1_c12_i090_min20,8,0.0,0.0,0.0,0.0,0.0,0.88768575,0.6916015,0.81792675,0.98501938,8,0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c24_i075_s6_min20_p80,8,0.0,0.0,0.0,0.0,0.0,0.90774413,0.6915565,0.83511675,0.98337063,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30,8,0.0,0.0,0.0,0.0,0.0,0.84048638,0.69131875,0.7755,0.98569712,7,0
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r0_c20_i095_route24_f20_min12,8,0.0,0.0,0.0,0.0,0.0,0.94338975,0.69082062,0.8670125,0.9816075,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d1_c16_i085_min20,8,0.0,0.0,0.0,0.0,0.0,0.89689663,0.69069088,0.82624838,0.98374025,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d1_c20_i080_min20,8,0.0,0.0,0.0,0.0,0.0,0.901494,0.69028212,0.83013413,0.98252587,8,0
public_benchmark_v1_ext33_m2_56_line_stroke_d2_c12_i085_min20,8,0.0,0.0,0.0,0.0,0.0,0.88845925,0.68983838,0.81888187,0.98287888,8,0
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r0_c24_i090_route36_f30_min12,8,0.0,0.0,0.0,0.0,0.0,0.94539213,0.68802262,0.86938187,0.9782525,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min60,8,0.0,0.0,0.0,0.0,0.0,0.67829812,0.68794813,0.63037325,0.98689863,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d2_c20_i075_min20,8,0.0,0.0,0.0,0.0,0.0,0.901593,0.68793112,0.83060525,0.97957925,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min40,8,0.0,0.0,0.0,0.0,0.0,0.7771205,0.68771575,0.72039375,0.98535725,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min40,8,0.0,0.0,0.0,0.0,0.0,0.7771205,0.68771575,0.72039375,0.98535725,8,0
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r0_c20_i095_route32_f26_min12,8,0.0,0.0,0.0,0.0,0.0,0.94539213,0.68755612,0.86960275,0.977863,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,8,0.0,0.0,0.0,0.0,0.0,0.54132537,0.68735788,0.50353963,0.9859225,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min80,8,0.0,0.0,0.0,0.0,0.0,0.61550575,0.68711837,0.57232712,0.9851545,8,0
public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c30_i070_s8_min30_p100,8,0.0,0.0,0.0,0.0,0.0,0.848866,0.68695337,0.78335362,0.97958912,8,0
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r1_c24_i090_route36_f30_min12,8,0.0,0.0,0.0,0.0,0.0,0.94495525,0.68660025,0.8691145,0.97641862,8,0
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r1_c20_i095_route32_f26_min12,8,0.0,0.0,0.0,0.0,0.0,0.94495525,0.68613462,0.86933538,0.97602988,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d1_c30_i065_min80,8,0.0,0.0,0.0,0.0,0.0,0.61684475,0.68532975,0.57372375,0.98278875,8,0
public_benchmark_v1_ext33_auto_hybrid_skeleton_connect12_trimcap20,8,0.0,0.0,0.0,0.0,0.0,0.97797425,0.68529887,0.89608275,0.97077987,8,0
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r0_c20_i095_route32_f26_min20,8,0.0,0.0,0.0,0.0,0.0,0.9200195,0.6852605,0.846962,0.97536113,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d1_c24_i070_min60,8,0.0,0.0,0.0,0.0,0.0,0.68305763,0.6852315,0.63492888,0.9835645,8,0
public_benchmark_v1_ext33_m2_57_topology_open_d1_c24_i075_min40,8,0.0,0.0,0.0,0.0,0.0,0.77763088,0.68519625,0.72151338,0.982707,8,0
public_benchmark_v1_ext33_m2_56_line_stroke_d3_c18,8,0.0,0.0,0.0,0.0,0.0,0.97879475,0.68434138,0.89770412,0.9704645,8,0
public_benchmark_v1_ext33_all_skeleton_connect20_trimcap20,8,0.0,0.0,0.0,0.0,0.0,0.98038187,0.67536475,0.90046238,0.95935375,8,0
public_benchmark_v1_ext33_m2_66_profile_switcher,8,0.0,0.0,0.0,0.0,0.0,0.96712513,0.67247275,0.87716012,0.94271825,8,1
public_benchmark_v1_ext33_all_skeleton_connect30_trimcap20,8,0.0,0.0,0.0,0.0,0.0,0.98038187,0.6724455,0.90132013,0.95630525,8,0
public_benchmark_v1_ext33_all_skeleton_connect30_min8_trimcap20,8,0.0,0.0,0.0,0.0,0.0,0.95673137,0.6696355,0.88262513,0.95570413,8,0
public_benchmark_v1_ext33_all_skeleton_connect30_min12_trimcap20,8,0.0,0.0,0.0,0.0,0.0,0.9332935,0.6673045,0.86255025,0.95428687,8,0
public_benchmark_v1_ext33_all_skeleton_connect30_min20_trimcap20,8,0.0,0.0,0.0,0.0,0.0,0.90140125,0.66692113,0.83478525,0.95582575,8,0
public_benchmark_v1_ext33_m2_57_topology_selector_probe_min100_j14,8,0.0,0.0,0.0,0.0,0.0,0.96168275,0.62677325,0.872539,0.87037075,8,2
public_benchmark_v1_ext33_m2_60_maskpath_combo_rescue_selector,8,0.0,0.0,0.0,0.0,0.0,0.97063263,0.60785462,0.90765513,0.87078075,8,3
public_benchmark_v1_ext33_m2_60_maskpath_rescue_selector,8,0.0,0.0,0.0,0.0,0.0,0.97516813,0.606887,0.91254937,0.87045788,8,3
public_benchmark_v1_ext33_m2_55_line_domain_guard_low_jump,8,0.0,0.0,0.0,0.0,0.0,0.96814037,0.6058965,0.89149125,0.852608,8,3
