candidate,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_c20_trimcap20,hard_fail,0.32602061,29,20,0.0,0,0.92838,0.916483,0.850164,0.992881,0.007119
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_inside085_c20_trimcap20,hard_fail,0.35362169,28,20,1.2355,0,0.928777,0.914899,0.851551,0.992357,0.007643
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_inside090_c20_trimcap20,hard_fail,0.32602061,29,20,0.0,0,0.92838,0.916483,0.850164,0.992881,0.007119
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r15_c20_trimcap20,hard_fail,0.32602061,29,20,0.0,0,0.92838,0.916483,0.850164,0.992881,0.007119
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r15_inside090_c20_trimcap20,hard_fail,0.32602061,29,20,0.0,0,0.92838,0.916483,0.850164,0.992881,0.007119
public_benchmark_v1_ext33_auto_hybrid_r10_c16_trimcap20,hard_fail,0.32716763,35,20,0.0,0,0.92838,0.926352,0.845876,0.998511,0.001489
public_benchmark_v1_ext33_auto_hybrid_r10_c20_trimcap20,hard_fail,0.32716763,35,20,0.0,0,0.92838,0.926352,0.845876,0.998511,0.001489
public_benchmark_v1_ext33_auto_hybrid_r125_c16_trimcap20,hard_fail,0.32716763,35,20,0.0,0,0.92838,0.926352,0.845876,0.998511,0.001489
public_benchmark_v1_ext33_auto_hybrid_r125_c20_trimcap20,hard_fail,0.32716763,35,20,0.0,0,0.92838,0.926352,0.845876,0.998511,0.001489
public_benchmark_v1_ext33_auto_hybrid_skeleton_connect12_trimcap20,hard_fail,0.32716763,35,20,0.0,0,0.92838,0.926352,0.845876,0.998511,0.001489
public_benchmark_v1_ext33_m2_4_coverage_rerank,warning,0.13966756,16,1,0.0,0,0.488909,0.921707,0.440806,0.983122,0.016878
public_benchmark_v1_ext33_m2_4_coverage_rerank_connect30,warning,0.13966756,16,1,0.0,0,0.488909,0.921707,0.440806,0.983122,0.016878
public_benchmark_v1_ext33_m2_4_coverage_rerank_min12,warning,0.1397937,16,1,0.0,0,0.48294,0.925202,0.433743,0.98304,0.01696
public_benchmark_v1_ext33_m2_4_coverage_rerank_min20,warning,0.15121098,16,3,0.0,0,0.479956,0.940546,0.426427,0.988596,0.011404
public_benchmark_v1_ext33_m2_4_coverage_rerank_min8,warning,0.13972581,16,1,0.0,0,0.486919,0.922454,0.438619,0.98304,0.01696
public_benchmark_v1_ext33_m2_58_coverage_aware_relative_rescue,pass,0.09693779,6,0,2.0983,0,0.998209,0.752954,0.99567,0.888501,0.111499
public_benchmark_v1_ext33_m2_60_maskpath_combo_rescue_selector,pass,0.09693779,6,0,2.0983,0,0.998209,0.752954,0.99567,0.888501,0.111499
public_benchmark_v1_ext33_m2_60_maskpath_mp_d0_r0_c20_i095_route24_f20_min12,pass,0.09693779,6,0,2.0983,0,0.998209,0.752954,0.99567,0.888501,0.111499
