candidate,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio
public_benchmark_v1_ext33_auto_hybrid_r10_c16_trimcap20,hard_fail,0.32716763,35,20,0.0,0,0.92838,0.926352,0.845876,0.998511,0.001489
public_benchmark_v1_ext33_auto_hybrid_r10_c20_trimcap20,hard_fail,0.32716763,35,20,0.0,0,0.92838,0.926352,0.845876,0.998511,0.001489
public_benchmark_v1_ext33_auto_hybrid_r125_c16_trimcap20,hard_fail,0.32716763,35,20,0.0,0,0.92838,0.926352,0.845876,0.998511,0.001489
public_benchmark_v1_ext33_auto_hybrid_r125_c20_trimcap20,hard_fail,0.32716763,35,20,0.0,0,0.92838,0.926352,0.845876,0.998511,0.001489
public_benchmark_v1_ext33_auto_hybrid_skeleton_connect12_trimcap20,hard_fail,0.32716763,35,20,0.0,0,0.92838,0.926352,0.845876,0.998511,0.001489
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_c20_trimcap20,hard_fail,0.32602061,29,20,0.0,0,0.92838,0.916483,0.850164,0.992881,0.007119
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_inside090_c20_trimcap20,hard_fail,0.32602061,29,20,0.0,0,0.92838,0.916483,0.850164,0.992881,0.007119
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r15_c20_trimcap20,hard_fail,0.32602061,29,20,0.0,0,0.92838,0.916483,0.850164,0.992881,0.007119
public_benchmark_v1_ext33_auto_hybrid_evalrepair_r15_inside090_c20_trimcap20,hard_fail,0.32602061,29,20,0.0,0,0.92838,0.916483,0.850164,0.992881,0.007119
public_benchmark_v1_ext33_m2_4_coverage_rerank_min20,warning,0.15121098,16,3,0.0,0,0.479956,0.940546,0.426427,0.988596,0.011404
public_benchmark_v1_ext33_m2_4_coverage_rerank,warning,0.13966756,16,1,0.0,0,0.488909,0.921707,0.440806,0.983122,0.016878
public_benchmark_v1_ext33_m2_4_coverage_rerank_connect30,warning,0.13966756,16,1,0.0,0,0.488909,0.921707,0.440806,0.983122,0.016878
public_benchmark_v1_ext33_m2_4_coverage_rerank_min8,warning,0.13972581,16,1,0.0,0,0.486919,0.922454,0.438619,0.98304,0.01696
public_benchmark_v1_ext33_m2_4_coverage_rerank_min12,warning,0.1397937,16,1,0.0,0,0.48294,0.925202,0.433743,0.98304,0.01696
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_safeadt_rows16_p40,excellent,0.08927397,10,1,0.0,0,0.988461,0.833711,0.963214,0.961113,0.038887
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_safeadt_t2m5_r035_a32_rows16_p40,excellent,0.08927397,10,1,0.0,0,0.988461,0.833711,0.963214,0.961113,0.038887
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,excellent,0.08927397,10,1,0.0,0,0.988461,0.833711,0.963214,0.961113,0.038887
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_inset1_rows16_p40,excellent,0.08927202,10,1,0.0,0,0.993435,0.815765,0.976499,0.948622,0.051378
public_benchmark_v1_ext33_mask_fill_rows16_c6,hard_fail,0.4,436,71,0.0,0,0.998209,0.789505,0.993988,0.930058,0.069942
public_benchmark_v1_ext33_mask_fill_rows12_c10,hard_fail,0.4,731,121,0.0,0,1.0,0.771261,1.0,0.912425,0.087575
public_benchmark_v1_ext33_mask_fill_rows12_c6,hard_fail,0.4,731,121,0.0,0,1.0,0.771261,1.0,0.912425,0.087575
public_benchmark_v1_ext33_mask_fill_nearestrow_strict_short_rows16,hard_fail,0.22668188,34,3,0.0,0,0.998209,0.772428,0.994282,0.910211,0.089789
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_strict_p20_rows16,warning,0.18121929,17,3,0.9669,0,0.998209,0.763176,0.995249,0.900183,0.099817
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_qpath090_rows16_p40,pass,0.13582014,13,1,0.9669,0,0.998209,0.758905,0.995375,0.895258,0.104742
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_qpath095_rows16_p40,pass,0.13582014,13,1,0.9669,0,0.998209,0.758905,0.995375,0.895258,0.104742
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_quantvalid_rows16_p40,pass,0.13582014,13,1,0.9669,0,0.998209,0.758905,0.995375,0.895258,0.104742
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_adapt_t2_m5_rows16_p40,excellent,0.09814515,8,1,1.1314,0,0.969512,0.881956,0.91062,0.980002,0.019998
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_adapt_t3_m6_rows16_p40,excellent,0.09814515,8,1,1.1314,0,0.969512,0.881956,0.91062,0.980002,0.019998
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,excellent,0.09814515,8,1,1.1314,0,0.969512,0.881956,0.91062,0.980002,0.019998
public_benchmark_v1_ext33_mask_fill_edgewalk_nearestrow_inset2_rows16_p40,excellent,0.09814515,8,1,1.1314,0,0.969512,0.881956,0.91062,0.980002,0.019998
