sample_id,source_name,category,candidate,dst_path,target_mask_path,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,jump_path_mm,visible_connector_length_mm,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm,balanced_score
txt_001,Rendered text,AI,public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20,results\public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.01645644,2,0,0.0,0,14.2636,0.0,3646,4528,2416,2265,151,2396,20,0.621229,0.9375,0.529152,0.991722,0.008278,2,2,90.0,0.10245988
txt_001,Rendered text,AI,public_benchmark_v1_core20_source_aware_hybrid_skeleton,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.0493827,6,0,0.0,0,43.2093,0.0,3646,4528,2343,2202,141,2323,20,0.60395,0.939821,0.51303,0.991464,0.008536,2,2,90.0,0.1547031
txt_001,Rendered text,AI,public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.01645644,2,0,0.0,0,14.2636,0.0,3646,4528,2416,2265,151,2396,20,0.621229,0.9375,0.529152,0.991722,0.008278,2,2,90.0,0.10245988
txt_001,Rendered text,AI,public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12_trimcap20,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12_trimcap20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.01645644,2,0,0.0,0,14.2636,0.0,3646,4528,2416,2265,151,2396,20,0.621229,0.9375,0.529152,0.991722,0.008278,2,2,90.0,0.10245988
txt_001,Rendered text,AI,public_benchmark_v1_ext33_all_skeleton_connect20_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect20_trimcap20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.01645644,2,0,0.0,0,14.2636,0.0,3646,4528,2416,2265,151,2396,20,0.621229,0.9375,0.529152,0.991722,0.008278,2,2,90.0,0.10245988
txt_001,Rendered text,AI,public_benchmark_v1_ext33_all_skeleton_connect30_min12_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_min12_trimcap20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.01645644,2,0,0.0,0,14.2636,0.0,3646,4528,2416,2265,151,2396,20,0.621229,0.9375,0.529152,0.991722,0.008278,2,2,90.0,0.10245988
txt_001,Rendered text,AI,public_benchmark_v1_ext33_all_skeleton_connect30_min20_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_min20_trimcap20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.01645644,2,0,0.0,0,14.2636,0.0,3646,4528,1835,1729,106,1820,15,0.474218,0.942234,0.401943,0.991826,0.008174,2,2,90.0,0.12948584
txt_001,Rendered text,AI,public_benchmark_v1_ext33_all_skeleton_connect30_min8_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_min8_trimcap20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.01645644,2,0,0.0,0,14.2636,0.0,3646,4528,2416,2265,151,2396,20,0.621229,0.9375,0.529152,0.991722,0.008278,2,2,90.0,0.10245988
txt_001,Rendered text,AI,public_benchmark_v1_ext33_all_skeleton_connect30_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_trimcap20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.01645644,2,0,0.0,0,14.2636,0.0,3646,4528,2416,2265,151,2396,20,0.621229,0.9375,0.529152,0.991722,0.008278,2,2,90.0,0.10245988
txt_001,Rendered text,AI,public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_c20_trimcap20,results\public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_c20_trimcap20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.01645644,2,0,0.0,0,14.2636,0.0,3646,4528,2416,2265,151,2396,20,0.621229,0.9375,0.529152,0.991722,0.008278,2,2,90.0,0.10245988
