sample_id,source_name,category,candidate,dst_path,target_mask_path,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,jump_path_mm,visible_connector_length_mm,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm,balanced_score
txt_004,Rendered text,2026,public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100\txt_004\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_004_mask.png,excellent,0.008,1,0,0.0,0,0.0,0.0,9055,11288,1353,1353,0,1353,0,0.14942,1.0,0.119862,1.0,0.0,2,2,90.0,0.17686296
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.05569119,6,1,0.0,0,52.8498,0.0,9223,11368,3015,2902,113,3000,15,0.314648,0.962521,0.263899,0.995025,0.004975,2,2,90.0,0.21605147
txt_004,Rendered text,2026,public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090,results\public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090\txt_004\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_004_mask.png,pass,0.11379765,13,1,0.0,0,118.6767,0.0,9055,11288,5757,5559,198,5725,32,0.613915,0.965607,0.507176,0.994442,0.005558,2,2,90.0,0.24902333
txt_004,Rendered text,2026,public_benchmark_v1_ext33_m2_56_line_stroke_d1_c6_i095,results\public_benchmark_v1_ext33_m2_56_line_stroke_d1_c6_i095\txt_004\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_004_mask.png,pass,0.11379765,13,1,0.0,0,118.6767,0.0,9055,11288,5757,5559,198,5725,32,0.613915,0.965607,0.507176,0.994442,0.005558,2,2,90.0,0.24902333
txt_002,Rendered text,DST,public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100\txt_002\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_002_mask.png,excellent,0.02467686,3,0,0.0,0,21.1518,0.0,7322,9144,1589,1526,63,1580,9,0.208413,0.960352,0.172791,0.994336,0.005664,2,2,90.0,0.1904689
txt_004,Rendered text,2026,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12\txt_004\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_004_mask.png,excellent,0.08860233,10,1,0.0,0,81.3228,0.0,9055,11288,5639,5441,198,5607,32,0.600883,0.964887,0.496722,0.994325,0.005675,2,2,90.0,0.21412505
txt_004,Rendered text,2026,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20\txt_004\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_004_mask.png,excellent,0.08860233,10,1,0.0,0,81.3228,0.0,9055,11288,5639,5441,198,5607,32,0.600883,0.964887,0.496722,0.994325,0.005675,2,2,90.0,0.21412505
txt_004,Rendered text,2026,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30\txt_004\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_004_mask.png,excellent,0.08860233,10,1,0.0,0,81.3228,0.0,9055,11288,5639,5441,198,5607,32,0.600883,0.964887,0.496722,0.994325,0.005675,2,2,90.0,0.21412505
txt_004,Rendered text,2026,public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20\txt_004\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_004_mask.png,excellent,0.08860233,10,1,0.0,0,81.3228,0.0,9055,11288,5639,5441,198,5607,32,0.600883,0.964887,0.496722,0.994325,0.005675,2,2,90.0,0.21412505
txt_004,Rendered text,2026,public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30\txt_004\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_004_mask.png,excellent,0.08860233,10,1,0.0,0,81.3228,0.0,9055,11288,5639,5441,198,5607,32,0.600883,0.964887,0.496722,0.994325,0.005675,2,2,90.0,0.21412505
