sample_id,source_name,category,candidate,dst_path,target_mask_path,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,jump_path_mm,visible_connector_length_mm,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm,balanced_score
txt_001,Rendered text,AI,public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.0,0,0,0.0,0,0.0,0.0,3646,4528,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,2,90.0,0.3352
txt_001,Rendered text,AI,public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min80,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min80\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.0,0,0,0.0,0,0.0,0.0,3646,4528,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,2,90.0,0.3352
txt_001,Rendered text,AI,public_benchmark_v1_ext33_m2_57_topology_open_d1_c30_i065_min80,results\public_benchmark_v1_ext33_m2_57_topology_open_d1_c30_i065_min80\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.0,0,0,0.0,0,0.0,0.0,3646,4528,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,2,90.0,0.3352
txt_004,Rendered text,2026,public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100\txt_004\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_004_mask.png,excellent,0.008,1,0,0.0,0,0.0,0.0,9055,11288,1353,1353,0,1353,0,0.14942,1.0,0.119862,1.0,0.0,2,2,90.0,0.17686296
txt_001,Rendered text,AI,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.008,1,0,0.0,0,0.0,0.0,3646,4528,1844,1730,114,1828,16,0.474493,0.938178,0.40371,0.991323,0.008677,2,2,90.0,0.11679536
txt_001,Rendered text,AI,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.008,1,0,0.0,0,0.0,0.0,3646,4528,1844,1730,114,1828,16,0.474493,0.938178,0.40371,0.991323,0.008677,2,2,90.0,0.11679536
txt_001,Rendered text,AI,public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.008,1,0,0.0,0,0.0,0.0,3646,4528,1844,1730,114,1828,16,0.474493,0.938178,0.40371,0.991323,0.008677,2,2,90.0,0.11679536
txt_001,Rendered text,AI,public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.008,1,0,0.0,0,0.0,0.0,3646,4528,1844,1730,114,1828,16,0.474493,0.938178,0.40371,0.991323,0.008677,2,2,90.0,0.11679536
txt_001,Rendered text,AI,public_benchmark_v1_ext33_m2_57_topology_open_d1_c16_i085_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d1_c16_i085_min20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.008,1,0,0.0,0,0.0,0.0,3646,4528,1844,1730,114,1828,16,0.474493,0.938178,0.40371,0.991323,0.008677,2,2,90.0,0.11679536
txt_001,Rendered text,AI,public_benchmark_v1_ext33_m2_57_topology_open_d1_c20_i080_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d1_c20_i080_min20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.008,1,0,0.0,0,0.0,0.0,3646,4528,1844,1730,114,1828,16,0.474493,0.938178,0.40371,0.991323,0.008677,2,2,90.0,0.11679536
txt_001,Rendered text,AI,public_benchmark_v1_ext33_m2_57_topology_open_d2_c20_i075_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d2_c20_i075_min20\txt_001\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_001_mask.png,excellent,0.008,1,0,0.0,0,0.0,0.0,3646,4528,1844,1730,114,1828,16,0.474493,0.938178,0.40371,0.991323,0.008677,2,2,90.0,0.11679536
