sample_id,source_name,category,candidate,dst_path,target_mask_path,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,jump_path_mm,visible_connector_length_mm,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm,balanced_score
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.05569119,6,1,0.0,0,52.8498,0.0,9223,11368,3015,2902,113,3000,15,0.314648,0.962521,0.263899,0.995025,0.004975,2,2,90.0,0.21605147
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_56_line_stroke_d1_c6_i095,results\public_benchmark_v1_ext33_m2_56_line_stroke_d1_c6_i095\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.06613242,8,0,0.0,0,66.6382,0.0,9223,11368,5744,5426,318,5700,44,0.588312,0.944638,0.501407,0.99234,0.00766,2,2,90.0,0.18209862
txt_003,Rendered text,WKU,public_benchmark_v1_core20_source_aware_hybrid_skeleton,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,pass,0.13384857,14,3,0.0,0,120.2679,0.0,9223,11368,5707,5389,318,5663,44,0.5843,0.944279,0.498153,0.99229,0.00771,2,2,90.0,0.28052621
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min40,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min40\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min40,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min40\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min60,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min60\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d1_c16_i085_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d1_c16_i085_min20\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d1_c20_i080_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d1_c20_i080_min20\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d1_c24_i070_min60,results\public_benchmark_v1_ext33_m2_57_topology_open_d1_c24_i070_min60\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d1_c24_i075_min40,results\public_benchmark_v1_ext33_m2_57_topology_open_d1_c24_i075_min40\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_57_topology_open_d2_c20_i075_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d2_c20_i075_min20\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
txt_003,Rendered text,WKU,public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c16_i085_s4_min12_p80,results\public_benchmark_v1_ext33_m2_59_grouped_topology_g_d0_c16_i085_s4_min12_p80\txt_003\prediction.dst,datasets\public_benchmark_v1_ext33\text_render_5\txt_003_mask.png,excellent,0.04937602,6,0,0.0,0,43.0006,0.0,9223,11368,5632,5293,339,5583,49,0.573891,0.939808,0.491115,0.9913,0.0087,2,2,90.0,0.15973094
