sample_id,source_name,category,candidate,dst_path,target_mask_path,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,jump_path_mm,visible_connector_length_mm,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm,balanced_score
qd_001,QuickDraw,cat,public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20,results\public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,warning,0.20998867,22,2,0.6731,0,213.8726,0.0,7588,11839,10669,7157,3512,10301,368,0.9432,0.670822,0.87009,0.965508,0.034492,2,2,90.0,0.32005287
qd_001,QuickDraw,cat,public_benchmark_v1_core20_source_aware_hybrid_skeleton,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,hard_fail,0.26921151,44,9,0.0,0,475.3598,0.0,7588,11839,10374,7086,3288,10184,190,0.933843,0.683054,0.860208,0.981685,0.018315,2,2,90.0,0.47647911
qd_001,QuickDraw,cat,public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,warning,0.20998867,22,2,0.6731,0,213.8726,0.0,7588,11839,10669,7157,3512,10301,368,0.9432,0.670822,0.87009,0.965508,0.034492,2,2,90.0,0.32005287
qd_001,QuickDraw,cat,public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12_trimcap20,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12_trimcap20\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,warning,0.20998867,22,2,0.6731,0,213.8726,0.0,7588,11839,10669,7157,3512,10301,368,0.9432,0.670822,0.87009,0.965508,0.034492,2,2,90.0,0.32005287
qd_001,QuickDraw,cat,public_benchmark_v1_ext33_all_skeleton_connect20_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect20_trimcap20\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,warning,0.17708271,18,2,0.6731,0,185.5613,0.0,7588,11839,10795,7157,3638,10320,475,0.9432,0.662992,0.871695,0.955998,0.044002,2,2,90.0,0.27095431
qd_001,QuickDraw,cat,public_benchmark_v1_ext33_all_skeleton_connect30_min12_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_min12_trimcap20\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,pass,0.13687547,15,2,0.0,0,152.3585,0.0,7588,11839,10250,6780,3470,9887,363,0.893516,0.661463,0.835121,0.964585,0.035415,2,2,90.0,0.22037967
qd_001,QuickDraw,cat,public_benchmark_v1_ext33_all_skeleton_connect30_min20_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_min20_trimcap20\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,pass,0.13687547,15,2,0.0,0,152.3585,0.0,7588,11839,10250,6780,3470,9887,363,0.893516,0.661463,0.835121,0.964585,0.035415,2,2,90.0,0.22037967
qd_001,QuickDraw,cat,public_benchmark_v1_ext33_all_skeleton_connect30_min8_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_min8_trimcap20\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,warning,0.1621189,18,2,0.0,0,191.2157,0.0,7588,11839,10371,6888,3483,10008,363,0.907749,0.66416,0.845342,0.964999,0.035001,2,2,90.0,0.25525794
qd_001,QuickDraw,cat,public_benchmark_v1_ext33_all_skeleton_connect30_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_trimcap20\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,warning,0.17708271,18,2,0.6731,0,185.5613,0.0,7588,11839,10795,7157,3638,10320,475,0.9432,0.662992,0.871695,0.955998,0.044002,2,2,90.0,0.27095431
qd_001,QuickDraw,cat,public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_c20_trimcap20,results\public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_c20_trimcap20\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,warning,0.17708271,18,2,0.6731,0,185.5613,0.0,7588,11839,10795,7157,3638,10320,475,0.9432,0.662992,0.871695,0.955998,0.044002,2,2,90.0,0.27095431
