sample_id,source_name,category,candidate,dst_path,target_mask_path,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,jump_path_mm,visible_connector_length_mm,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm,balanced_score
qd_005,QuickDraw,bicycle,public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_005_mask.png,excellent,0.05573121,6,1,0.0,0,54.1003,0.0,7540,11320,2320,1673,647,2312,8,0.221883,0.721121,0.20424,0.996552,0.003448,2,2,90.0,0.23067177
qd_003,QuickDraw,fish,public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min100\qd_003\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_003_mask.png,excellent,0.03317388,4,0,0.0,0,36.6838,0.0,5046,7947,4082,2771,1311,4062,20,0.549148,0.678834,0.511136,0.9951,0.0049,2,2,90.0,0.13510572
qd_004,QuickDraw,flower,public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min30,results\public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min30\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_004_mask.png,warning,0.14736525,17,1,0.0,0,167.664,0.0,5898,9169,6440,4628,1812,6400,40,0.784673,0.718634,0.698004,0.993789,0.006211,2,2,90.0,0.26203093
qd_004,QuickDraw,flower,public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min20,results\public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090_min20\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_004_mask.png,warning,0.14939974,18,0,0.0,0,168.742,0.0,5898,9169,7061,5076,1985,7017,44,0.860631,0.718878,0.765296,0.993769,0.006231,2,2,90.0,0.25191374
qd_004,QuickDraw,flower,public_benchmark_v1_ext33_m2_56_line_stroke_d1_c12_i090_min20,results\public_benchmark_v1_ext33_m2_56_line_stroke_d1_c12_i090_min20\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_004_mask.png,warning,0.14939974,18,0,0.0,0,168.742,0.0,5898,9169,7061,5076,1985,7017,44,0.860631,0.718878,0.765296,0.993769,0.006231,2,2,90.0,0.25191374
qd_004,QuickDraw,flower,public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min60,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c24_i075_min60\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_004_mask.png,excellent,0.07309062,8,1,0.0,0,96.582,0.0,5898,9169,5448,3904,1544,5410,38,0.661919,0.716593,0.590032,0.993025,0.006975,2,2,90.0,0.17453326
qd_005,QuickDraw,bicycle,public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min80,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c30_i070_min80\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_005_mask.png,excellent,0.09524867,10,2,0.0,0,101.521,0.0,7540,11320,3144,2278,866,3121,23,0.302122,0.724555,0.275707,0.992684,0.007316,2,2,90.0,0.27319407
qd_005,QuickDraw,bicycle,public_benchmark_v1_ext33_m2_57_topology_open_d1_c30_i065_min80,results\public_benchmark_v1_ext33_m2_57_topology_open_d1_c30_i065_min80\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_005_mask.png,excellent,0.09524867,10,2,0.0,0,101.521,0.0,7540,11320,3144,2278,866,3121,23,0.302122,0.724555,0.275707,0.992684,0.007316,2,2,90.0,0.27319407
qd_005,QuickDraw,bicycle,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_005_mask.png,warning,0.16125972,18,2,0.0,0,164.3662,0.0,7540,11320,9620,7013,2607,9544,76,0.930106,0.729002,0.84311,0.9921,0.0079,2,2,90.0,0.25287804
qd_004,QuickDraw,flower,public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090,results\public_benchmark_v1_ext33_m2_56_line_stroke_d0_c12_i090\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_004_mask.png,warning,0.15584235,18,1,0.0,0,182.5734,0.0,5898,9169,7698,5509,2189,7637,61,0.934045,0.71564,0.832915,0.992076,0.007924,2,2,90.0,0.24636895
