sample_id,source_name,category,candidate,dst_path,target_mask_path,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,jump_path_mm,visible_connector_length_mm,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm,balanced_score
qd_002,QuickDraw,dog,public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20,results\public_benchmark_v1_core20_auto_hybrid_skeleton_connect12_trimcap20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,warning,0.16160438,18,2,0.0,0,175.1369,0.0,8242,12300,10893,7949,2944,10576,317,0.96445,0.729735,0.859837,0.970899,0.029101,2,2,90.0,0.24846794
qd_002,QuickDraw,dog,public_benchmark_v1_core20_source_aware_hybrid_skeleton,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,hard_fail,0.31389547,87,14,0.0,0,934.2335,0.0,8242,12300,10485,7891,2594,10381,104,0.957413,0.752599,0.843984,0.990081,0.009919,2,2,90.0,0.70322435
qd_002,QuickDraw,dog,public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,warning,0.16160438,18,2,0.0,0,175.1369,0.0,8242,12300,10893,7949,2944,10576,317,0.96445,0.729735,0.859837,0.970899,0.029101,2,2,90.0,0.24846794
qd_002,QuickDraw,dog,public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12_trimcap20,results\public_benchmark_v1_core20_source_aware_hybrid_skeleton_connect12_trimcap20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,warning,0.16160438,18,2,0.0,0,175.1369,0.0,8242,12300,10893,7949,2944,10576,317,0.96445,0.729735,0.859837,0.970899,0.029101,2,2,90.0,0.24846794
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_all_skeleton_connect20_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect20_trimcap20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,pass,0.12013034,13,2,0.0,0,129.073,0.0,8242,12300,11075,7981,3094,10646,429,0.968333,0.720632,0.865528,0.961264,0.038736,2,2,90.0,0.18600034
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_all_skeleton_connect30_min12_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_min12_trimcap20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,excellent,0.08928397,10,1,0.0,0,102.624,0.0,8242,12300,11228,7884,3344,10608,620,0.956564,0.702173,0.862439,0.944781,0.055219,2,2,90.0,0.14246617
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_all_skeleton_connect30_min20_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_min20_trimcap20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,excellent,0.08928397,10,1,0.0,0,102.624,0.0,8242,12300,11233,7748,3485,10459,774,0.940063,0.689753,0.850325,0.931096,0.068904,2,2,90.0,0.14523993
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_all_skeleton_connect30_min8_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_min8_trimcap20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,excellent,0.08928397,10,1,0.0,0,102.624,0.0,8242,12300,11260,7916,3344,10646,614,0.960446,0.70302,0.865528,0.945471,0.054529,2,2,90.0,0.14178493
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_all_skeleton_connect30_trimcap20,results\public_benchmark_v1_ext33_all_skeleton_connect30_trimcap20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,excellent,0.08928397,10,1,0.0,0,102.624,0.0,8242,12300,11201,7981,3220,10713,488,0.968333,0.712526,0.870976,0.956432,0.043568,2,2,90.0,0.14050021
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_c20_trimcap20,results\public_benchmark_v1_ext33_auto_hybrid_evalrepair_r10_c20_trimcap20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,pass,0.12013034,13,2,0.0,0,129.073,0.0,8242,12300,11075,7981,3094,10646,429,0.968333,0.720632,0.865528,0.961264,0.038736,2,2,90.0,0.18600034
