sample_id,source_name,category,candidate,dst_path,target_mask_path,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,jump_path_mm,visible_connector_length_mm,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm,balanced_score
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min30\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,pass,0.13671332,15,2,0.0,0,147.2914,0.0,8242,12300,9721,7308,2413,9625,96,0.886678,0.751775,0.78252,0.990124,0.009876,2,2,90.0,0.22707668
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,warning,0.14480652,16,2,0.0,0,150.2036,0.0,8242,12300,10050,7557,2493,9950,100,0.916889,0.75194,0.808943,0.99005,0.00995,2,2,90.0,0.23358224
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c16_i085_min20\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,warning,0.14480652,16,2,0.0,0,150.2036,0.0,8242,12300,10050,7557,2493,9950,100,0.916889,0.75194,0.808943,0.99005,0.00995,2,2,90.0,0.23358224
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_56_line_stroke_d1_c6_i095,results\public_benchmark_v1_ext33_m2_56_line_stroke_d1_c6_i095\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,warning,0.21942227,25,2,0.0,0,231.9458,0.0,8242,12300,10395,7802,2593,10291,104,0.946615,0.750553,0.836667,0.989995,0.010005,2,2,90.0,0.33849303
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min12\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,pass,0.13667042,15,2,0.0,0,145.9505,0.0,8242,12300,10334,7765,2569,10230,104,0.942126,0.751403,0.831707,0.989936,0.010064,2,2,90.0,0.2166955
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_67_line_art_profile,results\public_benchmark_v1_ext33_m2_67_line_art_profile\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,pass,0.13667042,15,2,0.0,0,145.9505,0.0,8242,12300,10334,7765,2569,10230,104,0.942126,0.751403,0.831707,0.989936,0.010064,2,2,90.0,0.2166955
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_68_shape_aware_profile,results\public_benchmark_v1_ext33_m2_68_shape_aware_profile\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,pass,0.13667042,15,2,0.0,0,145.9505,0.0,8242,12300,10334,7765,2569,10230,104,0.942126,0.751403,0.831707,0.989936,0.010064,2,2,90.0,0.2166955
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_69_text_wku_profile,results\public_benchmark_v1_ext33_m2_69_text_wku_profile\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,pass,0.13667042,15,2,0.0,0,145.9505,0.0,8242,12300,10334,7765,2569,10230,104,0.942126,0.751403,0.831707,0.989936,0.010064,2,2,90.0,0.2166955
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c12_i090_min30\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,warning,0.15333092,17,2,0.0,0,166.5914,0.0,8242,12300,9480,7096,2384,9384,96,0.860956,0.748523,0.762927,0.989873,0.010127,2,2,90.0,0.2561032
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min40,results\public_benchmark_v1_ext33_m2_57_topology_open_d0_c20_i080_min40\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,pass,0.13678916,15,2,0.0,0,149.6612,0.0,8242,12300,9309,6934,2375,9213,96,0.841301,0.744871,0.749024,0.989687,0.010313,2,2,90.0,0.2348022
