metric,m2_69,m2_70,delta
mean_unified_loss,0.05752378,0.05558126,-0.00194252
mean_jump_count,5.96969697,5.75757576,-0.21212121
mean_trim_count,0.87878788,0.84848485,-0.03030303
mean_off_mask_stitch_length_mm,0.12120606,0.12120606,0.0
mean_visible_connector_count,0.0,0.0,0.0
mean_coverage_ratio,0.97532003,0.97682379,0.00150376
mean_stitch_precision_ratio,0.83062852,0.82978270,-0.00084582
mean_adaptive_coverage_ratio,0.93040027,0.93203370,0.00163343
mean_adaptive_stitch_precision_ratio,0.96411012,0.96332882,-0.00078130
mean_overfill_outside_adaptive_ratio,0.03588988,0.03667118,0.00078130
low_strict_precision_samples,7,8,1
low_adaptive_precision_samples,0,0,0
mean_risk_score,0.10228871,0.09763792,-0.00465079
worst_risk_score,0.31067042,0.25929687,-0.05137355
review_samples,12,12,0
hard_fail,0,0,0
