sample_id,source_name,category,candidate,dst_path,target_mask_path,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,jump_path_mm,visible_connector_length_mm,target_pixels,adaptive_target_pixels,stitch_pixels,overlap_pixels,off_target_pixels,adaptive_overlap_pixels,adaptive_off_target_pixels,coverage_ratio,stitch_precision_ratio,adaptive_coverage_ratio,adaptive_stitch_precision_ratio,overfill_outside_adaptive_ratio,line_radius_px,adaptive_precision_radius_px,target_width_mm,balanced_score
qd_005,QuickDraw,bicycle,public_benchmark_v1_ext33_m2_70_line_art_jump_profile,results\public_benchmark_v1_ext33_m2_70_line_art_jump_profile\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_005_mask.png,excellent,0.01639641,2,0,0.0,0,12.3879,0.0,7540,11320,11274,7458,3816,10276,998,0.989125,0.661522,0.907774,0.911478,0.088522,2,2,90.0,0.02826353
qd_008,QuickDraw,star,public_benchmark_v1_ext33_m2_71_maskpath_d1_c24_i090_r42_f32_min8,results\public_benchmark_v1_ext33_m2_71_maskpath_d1_c24_i090_r42_f32_min8\qd_008\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_008_mask.png,excellent,0.03308373,4,0,0.0,0,33.8666,0.0,5902,9332,8645,5872,2773,8482,163,0.994917,0.679237,0.908916,0.981145,0.018855,2,2,90.0,0.05281381
qd_008,QuickDraw,star,public_benchmark_v1_ext33_m2_70_line_art_jump_profile,results\public_benchmark_v1_ext33_m2_70_line_art_jump_profile\qd_008\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_008_mask.png,excellent,0.03308916,4,0,0.0,0,34.0361,0.0,5902,9332,7970,5847,2123,7902,68,0.990681,0.733626,0.846764,0.991468,0.008532,2,2,90.0,0.06027748
qd_008,QuickDraw,star,public_benchmark_v1_ext33_m2_71_maskpath_d2_c28_i085_r48_f36_min6,results\public_benchmark_v1_ext33_m2_71_maskpath_d2_c28_i085_r48_f36_min6\qd_008\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_008_mask.png,warning,0.20617125,4,0,6.2265,1,33.8666,3.1623,5902,9332,8696,5872,2824,8480,216,0.994917,0.675253,0.908701,0.975161,0.024839,2,2,90.0,0.36819213
qd_006,QuickDraw,bird,public_benchmark_v1_ext33_m2_70_line_art_jump_profile,results\public_benchmark_v1_ext33_m2_70_line_art_jump_profile\qd_006\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_006_mask.png,excellent,0.06429324,7,1,0.0,0,71.6638,0.0,6036,9168,8162,5489,2673,7865,297,0.909377,0.672507,0.857875,0.963612,0.036388,2,2,90.0,0.10979808
qd_002,QuickDraw,dog,public_benchmark_v1_ext33_m2_70_line_art_jump_profile,results\public_benchmark_v1_ext33_m2_70_line_art_jump_profile\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_002_mask.png,excellent,0.07256709,8,1,0.0,0,80.2215,0.0,8242,12300,11298,8174,3124,10893,405,0.99175,0.723491,0.88561,0.964153,0.035847,2,2,90.0,0.11309389
qd_004,QuickDraw,flower,public_benchmark_v1_ext33_m2_70_line_art_jump_profile,results\public_benchmark_v1_ext33_m2_70_line_art_jump_profile\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_004_mask.png,excellent,0.07266845,8,1,0.0,0,83.3891,0.0,5898,9169,7829,5466,2363,7612,217,0.926755,0.698173,0.830189,0.972283,0.027717,2,2,90.0,0.12410537
qd_003,QuickDraw,fish,public_benchmark_v1_ext33_m2_70_line_art_jump_profile,results\public_benchmark_v1_ext33_m2_70_line_art_jump_profile\qd_003\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_003_mask.png,excellent,0.08985826,10,1,0.0,0,120.5705,0.0,5046,7947,7416,4982,2434,6902,514,0.987317,0.671791,0.868504,0.93069,0.06931,2,2,90.0,0.14043778
qd_001,QuickDraw,cat,public_benchmark_v1_ext33_m2_70_line_art_jump_profile,results\public_benchmark_v1_ext33_m2_70_line_art_jump_profile\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_001_mask.png,pass,0.09782929,11,1,0.0,0,119.6652,0.0,7588,11839,10613,7193,3420,9780,833,0.947944,0.677754,0.826083,0.921511,0.078489,2,2,90.0,0.16006381
qd_008,QuickDraw,star,public_benchmark_v1_ext33_m2_71_sg_euler_d1_c24_i090_r42_f32_min8,results\public_benchmark_v1_ext33_m2_71_sg_euler_d1_c24_i090_r42_f32_min8\qd_008\prediction.dst,datasets\public_benchmark_v1_ext33\quickdraw_10\qd_008_mask.png,warning,0.20665724,11,1,4.8399,0,117.484,0.0,5902,9332,8669,5851,2818,8461,208,0.991359,0.674934,0.906665,0.976006,0.023994,2,2,90.0,0.30505644
