selection,sample_id,source_name,category,dst_path,skeleton_path,skeleton_coverage_threshold,adaptive_skeleton_coverage_threshold,skeleton_coverage_ratio,skeleton_precision_ratio,adaptive_skeleton_coverage_ratio,adaptive_skeleton_precision_ratio,skeleton_overfill_outside_adaptive_ratio,target_pixels,stitch_pixels,overlap_pixels,adaptive_overlap_pixels,low_skeleton_coverage,low_adaptive_skeleton_coverage
m2_71,qd_001,QuickDraw,cat,results\public_benchmark_v1_ext33_m2_71_guarded_candidate_selector\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_001\skeleton.png,0.95,0.95,0.933077,0.142304,0.9278,0.352769,0.647231,1300,8524,1213,3007,True,True
m2_71,qd_002,QuickDraw,dog,results\public_benchmark_v1_ext33_m2_71_guarded_candidate_selector\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_002\skeleton.png,0.95,0.95,0.988827,0.13444,0.98393,0.352105,0.647895,1253,9216,1239,3245,False,False
m2_71,qd_003,QuickDraw,fish,results\public_benchmark_v1_ext33_m2_71_guarded_candidate_selector\qd_003\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_003\skeleton.png,0.95,0.95,0.983678,0.152574,0.978041,0.375865,0.624135,919,5925,904,2227,False,False
m2_71,qd_004,QuickDraw,flower,results\public_benchmark_v1_ext33_m2_71_guarded_candidate_selector\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_004\skeleton.png,0.95,0.95,0.955068,0.149273,0.94113,0.391638,0.608362,957,6123,914,2398,False,True
m2_71,qd_005,QuickDraw,bicycle,results\public_benchmark_v1_ext33_m2_71_guarded_candidate_selector\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_005\skeleton.png,0.95,0.95,0.99674,0.133326,0.993758,0.347106,0.652894,1227,9173,1223,3184,False,False
m2_71,qd_006,QuickDraw,bird,results\public_benchmark_v1_ext33_m2_71_guarded_candidate_selector\qd_006\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_006\skeleton.png,0.95,0.95,0.940114,0.153691,0.928872,0.377467,0.622533,1052,6435,989,2429,True,True
m2_71,qd_007,QuickDraw,moon,results\public_benchmark_v1_ext33_m2_71_guarded_candidate_selector\qd_007\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_007\skeleton.png,0.95,0.95,0.987375,0.162139,0.987214,0.404364,0.595636,1505,9165,1486,3706,False,False
m2_71,qd_008,QuickDraw,star,results\public_benchmark_v1_ext33_m2_71_guarded_candidate_selector\qd_008\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_008\skeleton.png,0.95,0.95,0.996044,0.159386,0.988601,0.398069,0.601931,1011,6318,1007,2515,False,False
vector_original,qd_001,QuickDraw,cat,results\public_benchmark_v1_ext33_m2_72_qd_vector_original\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_001\skeleton.png,0.95,0.95,0.995385,0.167573,0.992903,0.416731,0.583269,1300,7722,1294,3218,False,False
vector_original,qd_002,QuickDraw,dog,results\public_benchmark_v1_ext33_m2_72_qd_vector_original\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_002\skeleton.png,0.95,0.95,0.980048,0.15125,0.980594,0.398325,0.601675,1253,8119,1228,3234,False,False
vector_original,qd_003,QuickDraw,fish,results\public_benchmark_v1_ext33_m2_72_qd_vector_original\qd_003\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_003\skeleton.png,0.95,0.95,1.0,0.176731,0.999122,0.4375,0.5625,919,5200,919,2275,False,False
vector_original,qd_004,QuickDraw,flower,results\public_benchmark_v1_ext33_m2_72_qd_vector_original\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_004\skeleton.png,0.95,0.95,0.996865,0.159665,0.996075,0.42477,0.57523,957,5975,954,2538,False,False
vector_original,qd_005,QuickDraw,bicycle,results\public_benchmark_v1_ext33_m2_72_qd_vector_original\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_005\skeleton.png,0.95,0.95,0.97392,0.157092,0.985955,0.415275,0.584725,1227,7607,1195,3159,False,False
vector_original,qd_006,QuickDraw,bird,results\public_benchmark_v1_ext33_m2_72_qd_vector_original\qd_006\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_006\skeleton.png,0.95,0.95,0.977186,0.164139,0.983556,0.410666,0.589334,1052,6263,1028,2572,False,False
vector_original,qd_007,QuickDraw,moon,results\public_benchmark_v1_ext33_m2_72_qd_vector_original\qd_007\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_007\skeleton.png,0.95,0.95,1.0,0.178085,0.997603,0.443143,0.556857,1505,8451,1505,3745,False,False
vector_original,qd_008,QuickDraw,star,results\public_benchmark_v1_ext33_m2_72_qd_vector_original\qd_008\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_008\skeleton.png,0.95,0.95,1.0,0.171124,0.998821,0.430095,0.569905,1011,5908,1011,2541,False,False
vector_nearest,qd_001,QuickDraw,cat,results\public_benchmark_v1_ext33_m2_72_qd_vector_nearest\qd_001\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_001\skeleton.png,0.95,0.95,0.995385,0.167573,0.992903,0.416731,0.583269,1300,7722,1294,3218,False,False
vector_nearest,qd_002,QuickDraw,dog,results\public_benchmark_v1_ext33_m2_72_qd_vector_nearest\qd_002\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_002\skeleton.png,0.95,0.95,0.980048,0.15125,0.980594,0.398325,0.601675,1253,8119,1228,3234,False,False
vector_nearest,qd_003,QuickDraw,fish,results\public_benchmark_v1_ext33_m2_72_qd_vector_nearest\qd_003\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_003\skeleton.png,0.95,0.95,1.0,0.176731,0.999122,0.4375,0.5625,919,5200,919,2275,False,False
vector_nearest,qd_004,QuickDraw,flower,results\public_benchmark_v1_ext33_m2_72_qd_vector_nearest\qd_004\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_004\skeleton.png,0.95,0.95,0.996865,0.159665,0.996075,0.42477,0.57523,957,5975,954,2538,False,False
vector_nearest,qd_005,QuickDraw,bicycle,results\public_benchmark_v1_ext33_m2_72_qd_vector_nearest\qd_005\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_005\skeleton.png,0.95,0.95,0.97392,0.157092,0.985955,0.415275,0.584725,1227,7607,1195,3159,False,False
vector_nearest,qd_006,QuickDraw,bird,results\public_benchmark_v1_ext33_m2_72_qd_vector_nearest\qd_006\prediction.dst,datasets\public_benchmark_v1_ext33\priors\qd_006\skeleton.png,0.95,0.95,0.977186,0.164139,0.983556,0.410666,0.589334,1052,6263,1028,2572,False,False
