sample_id,method,source,unified_loss,hard_score,exec_score,visual_risk,quality_level,round_trip_parse_success,jump_count,trim_count,jump_path_mm,off_mask_stitch_length_mm,visible_connector_count,visible_connector_length_mm,stitch_count,stitch_path_mm,max_jump_mm,illegal_long_stitch_count,high_risk_jump_count,m2_policy_decisions,m2_policy_overrides,eval_json
pair_006,b1_conservative,existing_sweep,0.64338436,101.98648019,0.34338436,0.3,hard_fail,True,126,26,730.7612,437.3581,121,363.2428,3523,3569.186,,,,,,outputs\b1_sweep_latest_pair_20260617\b1_conservative\pair_006\executability_eval.json
pair_006,b2_graph_tsp_conservative_safe,existing_sweep,0.64470167,102.08291417,0.34470167,0.3,hard_fail,True,169,22,771.9271,428.6257,120,360.9169,3465,3473.2928,,,,,,outputs\b1_sweep_latest_pair_20260617\b2_graph_tsp_conservative_safe\pair_006\executability_eval.json
pair_008,b1_conservative,existing_sweep,0.62767642,15.23208475,0.34885442,0.278822,hard_fail,True,146,26,901.7005,49.0486,4,9.411,2188,2934.5452,,,,,,outputs\b1_sweep_latest_pair_20260617\b1_conservative\pair_008\executability_eval.json
pair_008,b2_graph_tsp_conservative_safe,existing_sweep,0.56226469,13.73451052,0.35099363,0.21127107,hard_fail,True,169,26,968.5508,38.2313,1,2.3022,2159,2869.7803,,,,,,outputs\b1_sweep_latest_pair_20260617\b2_graph_tsp_conservative_safe\pair_008\executability_eval.json
pair_010,b1_conservative,existing_sweep,0.6480724,19.49502657,0.3480724,0.3,hard_fail,True,147,31,877.2625,70.0023,8,20.6894,5230,4350.4538,,,,,,outputs\b1_sweep_latest_pair_20260617\b1_conservative\pair_010\executability_eval.json
pair_010,b2_graph_tsp_conservative_safe,existing_sweep,0.66893252,28.46796585,0.37135892,0.2975736,hard_fail,True,385,39,1604.9664,64.9256,7,18.7868,5000,3795.2154,,,,,,outputs\b1_sweep_latest_pair_20260617\b2_graph_tsp_conservative_safe\pair_010\executability_eval.json
pair_011a,b1_conservative,existing_sweep,0.62795514,34.05085514,0.32795514,0.3,hard_fail,True,104,18,623.5982,186.9032,15,46.7733,1447,1468.8917,,,,,,outputs\b1_sweep_latest_pair_20260617\b1_conservative\pair_011a\executability_eval.json
pair_011a,b2_graph_tsp_conservative_safe,existing_sweep,0.63043087,32.3981017,0.33043087,0.3,hard_fail,True,131,18,700.9648,170.3547,13,42.2819,1414,1391.5219,,,,,,outputs\b1_sweep_latest_pair_20260617\b2_graph_tsp_conservative_safe\pair_011a\executability_eval.json
pair_006,m1_config_regressor,existing_m1_config_eval,0.64338436,101.98648019,0.34338436,0.3,hard_fail,True,126,26,730.7612,437.3581,121,363.2428,3523,3569.186,,,,,,
pair_008,m1_config_regressor,existing_m1_config_eval,0.56256882,14.01318965,0.35129775,0.21127107,hard_fail,True,172,26,978.0548,39.4983,1,2.3022,2164,2877.511,,,,,,
pair_010,m1_config_regressor,existing_m1_config_eval,0.64772875,19.41468292,0.34772875,0.3,hard_fail,True,145,31,866.5234,70.0023,8,20.6894,5230,4361.2349,,,,,,
pair_011a,m1_config_regressor,existing_m1_config_eval,0.63043087,32.3981017,0.33043087,0.3,hard_fail,True,131,18,700.9648,170.3547,13,42.2819,1414,1391.5219,,,,,,
pair_006,m2_edge_policy_top4,generated_20260620_top4,0.611964,97.1392515,0.311964,0.3,hard_fail,True,151,15,686.375,421.8983,111,359.9238,3075,3100.6829,7.4813,6,0,185.0,49.0,outputs/m2_dst_top4_pair_006/executability_eval.json
pair_008,m2_edge_policy_top4,generated_20260620_top4,0.55506913,12.40798996,0.34379806,0.21127107,hard_fail,True,135,23,743.6894,39.7567,1,2.3022,1960,2777.7019,7.4953,0,0,16.0,5.0,outputs/m2_dst_top4_pair_008/executability_eval.json
pair_010,m2_edge_policy_top4,generated_20260620_top4,0.64216055,25.55207305,0.36290935,0.2792512,hard_fail,True,371,26,1340.9173,62.1593,3,9.6256,4821,3804.8016,7.524,0,0,847.0,329.0,outputs/m2_dst_top4_pair_010/executability_eval.json
pair_011a,m2_edge_policy_top4,generated_20260620_top4,0.62113533,31.51037283,0.32113533,0.3,hard_fail,True,114,17,597.9792,163.8339,15,51.1719,1228,1247.1828,7.4404,1,0,0.0,0.0,outputs/m2_dst_top4_pair_011a/executability_eval.json
