sample_id,method,top_k,unified_loss,hard_score,exec_score,visual_risk,quality_level,jump_count,trim_count,jump_path_mm,off_mask_stitch_length_mm,visible_connector_count,visible_connector_length_mm,stitch_count,stitch_path_mm,illegal_long_stitch_count,high_risk_jump_count,m2_policy_decisions,m2_policy_overrides,eval_json
pair_006,m2_edge_policy_top2,2,0.61030488,96.97759238,0.31030488,0.3,hard_fail,147,15,634.5274,421.8983,111,359.9238,3076,3098.9922,6,0,185.0,30.0,outputs/m2_dst_top2_pair_006/executability_eval.json
pair_008,m2_edge_policy_top2,2,0.55526945,12.44819028,0.34399839,0.21127107,hard_fail,136,23,749.9496,39.7567,1,2.3022,1960,2777.3074,0,0,16.0,6.0,outputs/m2_dst_top2_pair_008/executability_eval.json
pair_010,m2_edge_policy_top2,2,0.64617698,26.61608948,0.36692578,0.2792512,hard_fail,390,32,1466.4305,62.1593,3,9.6256,4833,3791.0891,0,0,847.0,236.0,outputs/m2_dst_top2_pair_010/executability_eval.json
pair_011a,m2_edge_policy_top2,2,0.62113533,31.51037283,0.32113533,0.3,hard_fail,114,17,597.9792,163.8339,15,51.1719,1228,1247.1828,1,0,0.0,0.0,outputs/m2_dst_top2_pair_011a/executability_eval.json
pair_006,m2_edge_policy_top4,4,0.611964,97.1392515,0.311964,0.3,hard_fail,151,15,686.375,421.8983,111,359.9238,3075,3100.6829,6,0,185.0,49.0,outputs/m2_dst_top4_pair_006/executability_eval.json
pair_008,m2_edge_policy_top4,4,0.55506913,12.40798996,0.34379806,0.21127107,hard_fail,135,23,743.6894,39.7567,1,2.3022,1960,2777.7019,0,0,16.0,5.0,outputs/m2_dst_top4_pair_008/executability_eval.json
pair_010,m2_edge_policy_top4,4,0.64216055,25.55207305,0.36290935,0.2792512,hard_fail,371,26,1340.9173,62.1593,3,9.6256,4821,3804.8016,0,0,847.0,329.0,outputs/m2_dst_top4_pair_010/executability_eval.json
pair_011a,m2_edge_policy_top4,4,0.62113533,31.51037283,0.32113533,0.3,hard_fail,114,17,597.9792,163.8339,15,51.1719,1228,1247.1828,1,0,0.0,0.0,outputs/m2_dst_top4_pair_011a/executability_eval.json
pair_006,m2_edge_policy_top8,8,0.6237221,97.1710096,0.3237221,0.3,hard_fail,149,17,678.8156,421.8983,111,359.9238,3079,3096.0046,6,0,185.0,53.0,outputs/m2_dst_pair_006/executability_eval.json
pair_008,m2_edge_policy_top8,8,0.55506913,12.40798996,0.34379806,0.21127107,hard_fail,135,23,743.6894,39.7567,1,2.3022,1960,2777.7019,0,0,16.0,5.0,outputs/m2_dst_pair_008/executability_eval.json
pair_010,m2_edge_policy_top8,8,0.64208782,27.35200032,0.36283662,0.2792512,hard_fail,416,26,1338.6445,62.1593,3,9.6256,4781,3796.1253,0,0,847.0,388.0,outputs/m2_dst_pair_010/executability_eval.json
pair_011a,m2_edge_policy_top8,8,0.62113533,31.51037283,0.32113533,0.3,hard_fail,114,17,597.9792,163.8339,15,51.1719,1228,1247.1828,1,0,0.0,0.0,outputs/m2_dst_pair_011a/executability_eval.json
