sample_id,baseline,m2_unified_delta,m2_hard_delta,m2_jump_delta,m2_trim_delta,m2_offmask_delta,m2_visible_delta
pair_006,b1_conservative,-0.01966226,-4.81547059,23.0,-9.0,-15.4598,-10.0
pair_006,b2_graph_tsp_conservative_safe,-0.02097957,-4.91190457,-20.0,-5.0,-6.7274,-9.0
pair_006,m1_config_regressor,-0.01966226,-4.81547059,23.0,-9.0,-15.4598,-10.0
pair_008,b1_conservative,-0.07260729,-2.82409479,-11.0,-3.0,-9.2919,-3.0
pair_008,b2_graph_tsp_conservative_safe,-0.00719556,-1.32652056,-34.0,-3.0,1.5254,0.0
pair_008,m1_config_regressor,-0.00749969,-1.60519969,-37.0,-3.0,0.2584,0.0
pair_010,b1_conservative,-0.00598458,7.85697375,269.0,-5.0,-7.843,-5.0
pair_010,b2_graph_tsp_conservative_safe,-0.0268447,-1.11596553,31.0,-13.0,-2.7663,-4.0
pair_010,m1_config_regressor,-0.00564093,7.9373174,271.0,-5.0,-7.843,-5.0
pair_011a,b1_conservative,-0.00681981,-2.54048231,10.0,-1.0,-23.0693,0.0
pair_011a,b2_graph_tsp_conservative_safe,-0.00929554,-0.88772887,-17.0,-1.0,-6.5208,2.0
pair_011a,m1_config_regressor,-0.00929554,-0.88772887,-17.0,-1.0,-6.5208,2.0
