rank,lr,weight_decay,epochs,seed,mean_decision_count,mean_accuracy,mean_top3_accuracy,mean_mean_oracle_rank,mean_mean_train_pair_accuracy
1,0.01,0.0,300,3,1074,0.3566108,0.59217877,5.53351955,0.97462122
2,0.01,0.001,300,3,1074,0.3566108,0.59124767,5.54003724,0.97462017
3,0.01,0.0,300,1,1074,0.3566108,0.59031657,5.54562384,0.97435965
4,0.01,0.001,300,1,1074,0.3566108,0.59031657,5.54748604,0.97435542
5,0.01,0.01,300,3,1074,0.3556797,0.59124767,5.55679702,0.97458863
6,0.01,0.01,300,1,1074,0.3556797,0.59031657,5.56424581,0.97432806
7,0.01,0.0,300,2,1074,0.3547486,0.59217877,5.5707635,0.97450822
8,0.01,0.001,300,2,1074,0.3547486,0.59217877,5.5716946,0.97450609
9,0.01,0.01,300,2,1074,0.3538175,0.59124767,5.58845437,0.97440174
10,0.01,0.0,100,3,1074,0.26443203,0.46461825,9.35009311,0.96318713
11,0.01,0.001,100,3,1074,0.26443203,0.46461825,9.3519553,0.96318398
12,0.01,0.01,100,3,1074,0.26443203,0.46461825,9.3575419,0.96317661
13,0.003,0.0,300,3,1074,0.26256984,0.45437616,9.75698324,0.96221785
14,0.003,0.001,300,3,1074,0.26256984,0.45437616,9.75698324,0.96221574
15,0.003,0.01,300,3,1074,0.26256984,0.45437616,9.76256983,0.9622105
16,0.01,0.0,100,2,1074,0.26163873,0.46089386,9.51582868,0.96228939
17,0.01,0.001,100,2,1074,0.26163873,0.46089386,9.51675978,0.96228728
18,0.01,0.01,100,2,1074,0.26163873,0.46089386,9.51955307,0.96227251
19,0.01,0.0,100,1,1074,0.25884543,0.46089386,9.44599627,0.96244578
20,0.01,0.001,100,1,1074,0.25884543,0.46089386,9.44599627,0.96244261
21,0.01,0.01,100,1,1074,0.25884543,0.46089386,9.44878957,0.96243527
22,0.003,0.0,300,2,1074,0.25605214,0.45251396,9.93482309,0.96088613
23,0.003,0.001,300,2,1074,0.25605214,0.45251396,9.93575419,0.96088402
24,0.003,0.01,300,2,1074,0.25605214,0.45251396,9.93947858,0.9608756
25,0.003,0.0,300,1,1074,0.25325884,0.44785847,9.87523278,0.96123543
26,0.003,0.001,300,1,1074,0.25325884,0.44785847,9.87523278,0.96123543
27,0.003,0.01,300,1,1074,0.25325884,0.44785847,9.88081937,0.96122385
28,0.001,0.01,300,3,1074,0.23091248,0.38547486,14.38268157,0.95429865
29,0.001,0.0,300,3,1074,0.23091248,0.38547486,14.38361266,0.95430288
30,0.001,0.001,300,3,1074,0.23091248,0.38547486,14.38361266,0.95430288
31,0.003,0.01,100,3,1074,0.23091248,0.38547486,14.39944134,0.9542808
32,0.003,0.0,100,3,1074,0.23091248,0.38547486,14.40037244,0.9542829
33,0.003,0.001,100,3,1074,0.23091248,0.38547486,14.40037244,0.9542829
34,0.001,0.01,300,1,1074,0.22439479,0.37802607,14.81750465,0.94930153
35,0.001,0.0,300,1,1074,0.22439479,0.37802607,14.81843576,0.94930259
36,0.001,0.001,300,1,1074,0.22439479,0.37802607,14.81843576,0.94930259
37,0.003,0.0,100,1,1074,0.22439479,0.37709497,14.83891993,0.94929211
38,0.003,0.001,100,1,1074,0.22439479,0.37709497,14.83891993,0.94929211
39,0.003,0.01,100,1,1074,0.22439479,0.37709497,14.83891993,0.94929211
40,0.001,0.01,300,2,1074,0.22160149,0.37150838,15.02607076,0.94881379
41,0.001,0.0,300,2,1074,0.22160149,0.37150838,15.02700186,0.94881591
42,0.001,0.001,300,2,1074,0.22160149,0.37150838,15.02700186,0.94881591
43,0.003,0.0,100,2,1074,0.22160149,0.37150838,15.03817505,0.94880538
44,0.003,0.001,100,2,1074,0.22160149,0.37150838,15.03817505,0.94880538
45,0.003,0.01,100,2,1074,0.22067039,0.37150838,15.03817505,0.94880642
46,0.001,0.01,100,1,1074,0.19366853,0.33798882,19.82960894,0.93857043
47,0.001,0.001,100,1,1074,0.19366853,0.33798882,19.83333333,0.93856834
48,0.001,0.0,100,1,1074,0.19366853,0.33798882,19.83333333,0.93856728
49,0.001,0.01,100,3,1074,0.19180633,0.34636872,18.52700186,0.95049911
50,0.001,0.0,100,3,1074,0.19087523,0.34636872,18.52979516,0.9505012
51,0.001,0.001,100,3,1074,0.19087523,0.34636872,18.52979516,0.9505012
52,0.001,0.01,100,2,1074,0.18715084,0.32960893,20.18528864,0.93534745
53,0.001,0.0,100,2,1074,0.18715084,0.32960893,20.18715084,0.93534219
54,0.001,0.001,100,2,1074,0.18715084,0.32960893,20.18715084,0.93534219
