sample_id,decision_id,selected_node,oracle_node,correct,oracle_rank,candidate_count,selected_utility
pair006,pair006:task15:step1,15,18,False,3,19,3.31628157
pair006,pair006:task15:step10,9,7,False,3,10,3.40636882
pair006,pair006:task15:step11,6,6,True,1,9,3.65986394
pair006,pair006:task15:step12,5,4,False,3,8,3.64120956
pair006,pair006:task15:step13,5,5,True,1,7,3.55682029
pair006,pair006:task15:step14,8,2,False,3,6,3.44818895
pair006,pair006:task15:step15,3,1,False,2,5,3.50534153
pair006,pair006:task15:step16,3,0,False,2,4,3.41055682
pair006,pair006:task15:step17,3,3,True,1,3,3.00668375
pair006,pair006:task15:step18,8,8,True,1,2,3.27296919
pair006,pair006:task15:step19,9,9,True,1,1,3.46547885
pair006,pair006:task15:step2,19,17,False,2,18,3.5215845
pair006,pair006:task15:step3,19,19,True,1,17,3.37453
pair006,pair006:task15:step4,15,15,True,1,16,3.08251614
pair006,pair006:task15:step5,14,13,False,2,15,3.17448653
pair006,pair006:task15:step6,14,12,False,2,14,3.34864491
pair006,pair006:task15:step7,10,14,False,2,13,3.23429669
pair006,pair006:task15:step8,11,11,True,1,12,3.23460302
pair006,pair006:task15:step9,10,10,True,1,11,3.49831146
pair006,pair006:task16:step1,9,9,True,1,43,4.04873824
pair006,pair006:task16:step10,14,13,False,2,34,3.49736271
pair006,pair006:task16:step11,15,15,True,1,33,3.95687792
pair006,pair006:task16:step12,14,14,True,1,32,3.98125494
pair006,pair006:task16:step13,18,22,False,4,31,3.95075722
pair006,pair006:task16:step14,20,24,False,2,30,3.62737814
pair006,pair006:task16:step15,18,20,False,3,29,3.85704693
pair006,pair006:task16:step16,16,16,True,1,28,3.63768667
pair006,pair006:task16:step17,18,18,True,1,27,3.9879454
pair006,pair006:task16:step18,19,19,True,1,26,3.640003
pair006,pair006:task16:step19,17,21,False,2,25,3.6537028
pair006,pair006:task16:step2,8,8,True,1,42,4.0464919
pair006,pair006:task16:step20,23,23,True,1,24,3.61637739
pair006,pair006:task16:step21,17,25,False,2,23,3.45896336
pair006,pair006:task16:step22,27,17,False,3,22,3.40064468
pair006,pair006:task16:step23,27,27,True,1,21,3.09872854
pair006,pair006:task16:step24,29,29,True,1,20,3.42052402
pair006,pair006:task16:step25,30,2,False,17,19,3.36590295
pair006,pair006:task16:step26,1,1,True,1,18,3.51806101
pair006,pair006:task16:step27,0,0,True,1,17,3.16007387
pair006,pair006:task16:step28,26,26,True,1,16,2.26525802
pair006,pair006:task16:step29,28,28,True,1,15,3.54020151
pair006,pair006:task16:step3,7,11,False,2,41,4.02160419
pair006,pair006:task16:step30,30,30,True,1,14,3.53736733
pair006,pair006:task16:step31,31,31,True,1,13,3.50168319
pair006,pair006:task16:step32,32,32,True,1,12,3.51128744
pair006,pair006:task16:step33,33,33,True,1,11,3.563737
pair006,pair006:task16:step34,34,34,True,1,10,3.39429925
pair006,pair006:task16:step35,35,35,True,1,9,3.41090959
pair006,pair006:task16:step36,36,36,True,1,8,3.27826366
pair006,pair006:task16:step37,37,37,True,1,7,3.32452539
pair006,pair006:task16:step38,38,39,False,2,6,3.33459509
pair006,pair006:task16:step39,38,38,True,1,5,3.42213926
pair006,pair006:task16:step4,12,12,True,1,40,4.04207782
pair006,pair006:task16:step40,40,40,True,1,4,3.27397113
pair006,pair006:task16:step41,41,41,True,1,3,3.3455456
pair006,pair006:task16:step42,42,42,True,1,2,3.38870246
pair006,pair006:task16:step43,43,43,True,1,1,3.34647973
pair006,pair006:task16:step5,13,7,False,2,39,3.97137993
pair006,pair006:task16:step6,13,6,False,2,38,3.7788192
pair006,pair006:task16:step7,5,3,False,3,37,3.78697846
pair006,pair006:task16:step8,4,4,True,1,36,3.46458053
pair006,pair006:task16:step9,5,5,True,1,35,3.737851
pair006,pair006:task17:step1,15,15,True,1,16,3.39927472
pair006,pair006:task17:step10,6,6,True,1,7,3.3971837
pair006,pair006:task17:step11,5,5,True,1,6,3.39966548
pair006,pair006:task17:step12,4,4,True,1,5,3.39726236
pair006,pair006:task17:step13,3,3,True,1,4,3.3997461
pair006,pair006:task17:step14,2,2,True,1,3,3.3973418
pair006,pair006:task17:step15,1,1,True,1,2,3.39982358
pair006,pair006:task17:step16,0,0,True,1,1,3.39742125
pair006,pair006:task17:step2,14,14,True,1,15,3.33265226
pair006,pair006:task17:step3,13,13,True,1,14,3.18094737
pair006,pair006:task17:step4,12,12,True,1,13,3.33273171
