rank,lr,weight_decay,epochs,seed,mean_decision_count,mean_accuracy,mean_top3_accuracy,mean_mean_oracle_rank,mean_mean_train_pair_accuracy
1,0.01,0.0,700,3,1074,0.5716946,0.82588455,2.65828678,0.93534281
2,0.01,0.01,700,1,1074,0.5716946,0.82588455,2.66201117,0.93501155
3,0.01,0.01,700,3,1074,0.5707635,0.82588455,2.65828678,0.93528818
4,0.01,0.001,700,3,1074,0.5707635,0.82588455,2.65921787,0.9353583
5,0.01,0.0,700,1,1074,0.5707635,0.82588455,2.66014897,0.93499402
6,0.01,0.001,700,1,1074,0.5707635,0.82588455,2.66014897,0.93499402
7,0.01,0.0,700,2,1074,0.5689013,0.82588455,2.66201117,0.93507148
8,0.01,0.001,700,2,1074,0.56797021,0.82588455,2.66294227,0.93505191
9,0.01,0.01,700,2,1074,0.56703911,0.82495345,2.66759777,0.93509105
10,0.01,0.0,300,1,1074,0.54376164,0.82122905,2.73091248,0.93285371
11,0.01,0.001,300,1,1074,0.54376164,0.82122905,2.73091248,0.93272783
12,0.01,0.01,300,1,1074,0.54376164,0.82122905,2.73091248,0.93270826
13,0.01,0.0,300,2,1074,0.54376164,0.81936685,2.73370578,0.93301058
14,0.01,0.0,300,3,1074,0.54376164,0.81843576,2.72998138,0.93257617
15,0.01,0.001,300,3,1074,0.54376164,0.81843576,2.72998138,0.93256068
16,0.01,0.001,300,2,1074,0.54376164,0.81843576,2.73463687,0.93301058
17,0.01,0.01,300,2,1074,0.54376164,0.81843576,2.73556797,0.93310761
18,0.01,0.01,300,3,1074,0.54376164,0.81750466,2.73091248,0.93268656
19,0.003,0.001,700,3,1074,0.53817505,0.81005586,2.76908752,0.92994052
20,0.003,0.0,700,3,1074,0.53817505,0.81005586,2.76908752,0.92992503
21,0.003,0.01,700,3,1074,0.53817505,0.81005586,2.77188082,0.92992503
22,0.003,0.0,700,2,1074,0.53538175,0.80819366,2.79143389,0.93016118
23,0.003,0.001,700,2,1074,0.53538175,0.80819366,2.79143389,0.93014365
24,0.003,0.01,700,2,1074,0.53445066,0.80819366,2.79422719,0.93002297
25,0.003,0.0,700,1,1074,0.53351956,0.81284917,2.78119181,0.93007983
26,0.003,0.001,700,1,1074,0.53351956,0.81284917,2.78119181,0.9300623
27,0.003,0.01,700,1,1074,0.53258846,0.81284917,2.78305401,0.92997669
28,0.01,0.0,100,3,1074,0.51955307,0.7867784,2.88733706,0.91884775
29,0.01,0.001,100,3,1074,0.51955307,0.7867784,2.88733706,0.91879923
30,0.01,0.01,100,3,1074,0.51955307,0.7867784,2.88733706,0.91876621
31,0.003,0.0,300,3,1074,0.51210428,0.7858473,2.91247672,0.91654221
32,0.003,0.001,300,3,1074,0.51210428,0.7858473,2.91247672,0.91654221
33,0.003,0.01,300,3,1074,0.51210428,0.7858473,2.91247672,0.91650919
34,0.01,0.0,100,2,1074,0.51024208,0.7849162,2.93668529,0.91625201
35,0.01,0.001,100,2,1074,0.51024208,0.7849162,2.93668529,0.91625201
36,0.01,0.01,100,2,1074,0.51024208,0.7849162,2.93668529,0.91621899
37,0.01,0.0,100,1,1074,0.51024208,0.783054,2.9264432,0.91749042
38,0.01,0.001,100,1,1074,0.51024208,0.783054,2.9264432,0.91747288
39,0.01,0.01,100,1,1074,0.51024208,0.783054,2.9264432,0.9174048
40,0.003,0.0,300,1,1074,0.50837989,0.78212291,2.94227188,0.91570337
41,0.003,0.001,300,1,1074,0.50837989,0.78212291,2.94227188,0.91570337
42,0.003,0.01,300,1,1074,0.50837989,0.78212291,2.94227188,0.91568584
43,0.003,0.0,300,2,1074,0.5009311,0.7821229,2.96554935,0.91439781
44,0.003,0.001,300,2,1074,0.5009311,0.7821229,2.96554935,0.91439781
45,0.003,0.01,300,2,1074,0.5009311,0.7821229,2.96554935,0.91436479
46,0.001,0.01,700,3,1074,0.5009311,0.77839851,2.97951583,0.91229197
47,0.001,0.0,700,3,1074,0.5009311,0.77746741,2.98044693,0.9123095
48,0.001,0.001,700,3,1074,0.5009311,0.77746741,2.98044693,0.91227444
49,0.001,0.0,700,1,1074,0.49534451,0.77001862,3.02793296,0.91064985
50,0.001,0.001,700,1,1074,0.49534451,0.77001862,3.02793296,0.91064985
51,0.001,0.01,700,1,1074,0.49534451,0.76908753,3.03072626,0.9105993
52,0.001,0.0,700,2,1074,0.49162011,0.76722533,3.04934824,0.90941789
53,0.001,0.001,700,2,1074,0.49162011,0.76722533,3.04934824,0.90941789
54,0.001,0.01,700,2,1074,0.49162011,0.76722533,3.04934824,0.90941789
55,0.003,0.0,100,3,1074,0.46927374,0.73743017,3.19273743,0.90121375
56,0.003,0.001,100,3,1074,0.46927374,0.73743017,3.19273743,0.90121375
57,0.003,0.01,100,3,1074,0.46927374,0.73743017,3.19273743,0.90121375
58,0.001,0.0,300,3,1074,0.46927374,0.73649907,3.19366853,0.9012798
59,0.001,0.001,300,3,1074,0.46927374,0.73649907,3.19366853,0.90126431
60,0.001,0.01,300,3,1074,0.46927374,0.73649907,3.19366853,0.90124678
61,0.001,0.01,300,1,1074,0.45903165,0.72625698,3.32402234,0.89222184
62,0.001,0.0,300,1,1074,0.45810056,0.72625698,3.32495344,0.89222184
63,0.001,0.001,300,1,1074,0.45810056,0.72625698,3.32495344,0.89222184
64,0.003,0.0,100,1,1074,0.45810056,0.72625698,3.32495344,0.89222184
65,0.003,0.001,100,1,1074,0.45810056,0.72625698,3.32495344,0.89222184
66,0.003,0.01,100,1,1074,0.45810056,0.72625698,3.32495344,0.89220635
67,0.001,0.01,100,3,1074,0.44785847,0.71880819,3.32867784,0.89636684
68,0.001,0.0,100,3,1074,0.44785847,0.71880819,3.32867784,0.89631832
69,0.001,0.001,100,3,1074,0.44785847,0.71880819,3.32867784,0.89631832
70,0.001,0.01,300,2,1074,0.44692737,0.7122905,3.41340782,0.88803213
71,0.001,0.0,300,2,1074,0.44692737,0.7122905,3.41340782,0.88801664
72,0.001,0.001,300,2,1074,0.44692737,0.7122905,3.41340782,0.88801664
73,0.003,0.0,100,2,1074,0.44692737,0.7122905,3.41433892,0.88800115
74,0.003,0.001,100,2,1074,0.44692737,0.7122905,3.41433892,0.88800115
75,0.003,0.01,100,2,1074,0.44692737,0.7122905,3.41433892,0.88800115
76,0.001,0.0,100,1,1074,0.39944134,0.67970205,3.77560522,0.86770867
77,0.001,0.001,100,1,1074,0.39944134,0.67970205,3.77560522,0.86770867
78,0.001,0.01,100,1,1074,0.39944134,0.67970205,3.77560522,0.86770867
79,0.001,0.0,100,2,1074,0.37430168,0.6378026,4.02234637,0.85525479
80,0.001,0.001,100,2,1074,0.37430168,0.6378026,4.02234637,0.85525479
81,0.001,0.01,100,2,1074,0.37430168,0.6378026,4.02327747,0.85528781
