sample_id,decision_id,selected_node,oracle_node,correct,oracle_rank,candidate_count,selected_utility
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step1,17,15,False,2,19,2.51026086
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step10,5,5,True,1,10,3.06230269
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step11,3,3,True,1,9,2.84072775
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step12,2,2,True,1,8,2.9656
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step13,1,1,True,1,7,2.79319984
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step14,0,0,True,1,6,2.59047801
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step15,10,10,True,1,5,0.47073614
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step16,11,11,True,1,4,2.79361801
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step17,17,17,True,1,3,0.97548052
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step18,18,18,True,1,2,2.97415731
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step19,19,19,True,1,1,2.93173785
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step2,14,13,False,3,18,2.07285006
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step3,12,14,False,3,17,2.51841995
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step4,12,12,True,1,16,2.2623208
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step5,11,9,False,3,15,2.73985083
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step6,8,8,True,1,14,3.07044459
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step7,7,7,True,1,13,3.12610697
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step8,6,6,True,1,12,3.18072832
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task15:step9,5,4,False,2,11,3.26517875
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step1,11,9,False,2,25,4.1652461
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step10,18,18,True,1,25,4.01251108
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step11,19,19,True,1,25,3.23239688
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step12,21,17,False,2,25,3.20531012
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step13,21,21,True,1,25,2.63376623
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step14,23,23,True,1,25,3.08967256
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step15,20,25,False,5,25,2.72987231
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step16,27,6,False,12,25,2.44219847
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step17,5,4,False,2,25,3.2850167
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step18,5,5,True,1,25,3.35848595
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step19,3,3,True,1,25,1.9199912
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step2,8,8,True,1,25,4.02445706
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step20,2,22,False,5,24,2.14622538
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step21,20,20,True,1,23,3.21293449
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step22,24,24,True,1,22,2.85806071
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step23,26,26,True,1,21,2.87331945
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step24,28,28,True,1,20,2.86290503
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step25,30,31,False,2,19,2.9329943
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step26,32,32,True,1,18,2.88742048
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step27,33,33,True,1,17,2.94391683
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step28,34,34,True,1,16,2.53044855
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step29,35,35,True,1,15,2.5971288
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step3,7,11,False,2,25,3.70773612
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step30,36,30,False,4,14,2.19559717
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step31,36,2,False,12,13,1.09149803
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step32,1,1,True,1,12,2.87545818
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step33,0,0,True,1,11,2.03111524
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step34,27,36,False,3,10,-2.95214675
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step35,37,37,True,1,9,2.50835618
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step36,38,38,True,1,8,2.54619633
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step37,39,39,True,1,7,2.61086995
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step38,40,40,True,1,6,2.57984979
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step39,41,41,True,1,5,2.5374807
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step4,12,12,True,1,25,4.16442053
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step40,42,42,True,1,4,2.42801312
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step41,43,43,True,1,3,2.52072516
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step42,29,29,True,1,2,-0.8539129
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step43,27,27,True,1,1,2.57575296
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step5,13,7,False,4,25,3.7782878
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step6,6,13,False,3,25,3.16671541
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step7,14,15,False,2,25,3.92679265
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step8,14,14,True,1,25,4.25790368
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task16:step9,18,16,False,2,25,3.7144904
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step1,11,10,False,2,12,2.30555256
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step10,2,2,True,1,3,1.86148123
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step11,0,0,True,1,2,2.36316126
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step12,11,11,True,1,1,0.52398165
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step2,9,9,True,1,11,2.6043722
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step3,8,8,True,1,10,2.64792313
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step4,7,7,True,1,9,2.58726059
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step5,6,6,True,1,8,2.25358003
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step6,5,5,True,1,7,2.36847405
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step7,4,1,False,3,6,2.09265183
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step8,3,3,True,1,5,2.36196853
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task17:step9,4,4,True,1,4,2.61216867
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step1,7,7,True,1,16,2.45514889
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step10,13,13,True,1,7,1.6018374
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step11,5,5,True,1,6,0.5246879
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step12,4,4,True,1,5,2.4837084
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step13,3,3,True,1,4,2.48547845
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step14,2,2,True,1,3,2.4837733
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step15,1,1,True,1,2,2.48566516
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step16,0,0,True,1,1,2.4838382
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step2,8,8,True,1,15,2.4534385
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step3,9,9,True,1,14,2.45533559
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step4,10,10,True,1,13,2.4535034
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step5,11,11,True,1,12,2.45527869
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step6,12,12,True,1,11,2.05697313
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step7,13,15,False,4,10,2.2728904
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step8,16,16,True,1,9,2.48883482
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task18:step9,14,14,True,1,8,2.04980101
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task19:step1,1,1,True,1,9,2.34403289
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task19:step2,2,2,True,1,8,2.45615372
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task19:step3,3,3,True,1,7,2.4671327
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task19:step4,4,4,True,1,6,2.45618024
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task19:step5,5,5,True,1,5,2.46713877
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task19:step6,6,6,True,1,4,2.45623382
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task19:step7,7,7,True,1,3,2.46717689
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task19:step8,8,9,False,2,2,1.82571522
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task19:step9,8,8,True,1,1,2.44570311
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step1,64,64,True,1,25,3.98296947
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step10,49,49,True,1,25,4.02722298
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step11,48,48,True,1,25,4.0389237
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step12,47,47,True,1,25,3.85928749
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step13,46,46,True,1,25,3.86917757
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step14,45,45,True,1,25,3.43672732
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step15,44,57,False,11,25,3.35345351
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step16,58,59,False,2,25,3.84620869
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step17,60,60,True,1,25,3.72401007
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step18,58,58,True,1,25,3.84403769
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step19,62,62,True,1,25,3.45640631
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step2,65,65,True,1,25,3.81332414
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step20,61,61,True,1,25,3.6913497
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step21,56,53,False,4,25,1.53069309
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step22,54,55,False,2,25,4.22051514
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step23,56,56,True,1,25,3.9586201
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step24,54,54,True,1,25,3.08549955
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step25,44,44,True,1,25,-0.81021578
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step26,43,43,True,1,25,3.82644714
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step27,42,39,False,4,25,3.74547524
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step28,40,40,True,1,25,3.39319564
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step29,41,38,False,4,25,3.01203798
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step3,66,66,True,1,25,3.68536985
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step30,37,37,True,1,25,3.2628518
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step31,36,41,False,2,25,3.07882633
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step32,42,42,True,1,25,3.66487714
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step33,36,36,True,1,25,2.18822142
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step34,35,35,True,1,25,2.69909617
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step35,32,32,True,1,25,2.67320325
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step36,30,30,True,1,25,2.66532782
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step37,28,28,True,1,25,2.53584634
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step38,27,27,True,1,25,2.47719879
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step39,23,29,False,2,25,1.89364437
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step4,67,67,True,1,25,3.75185028
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step40,31,26,False,2,25,2.69639534
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step41,25,25,True,1,25,2.64463609
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step42,24,24,True,1,25,2.58265408
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step43,23,23,True,1,25,2.62505815
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step44,22,22,True,1,25,2.7501052
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step45,21,21,True,1,25,2.78448169
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step46,20,20,True,1,24,2.80760246
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step47,19,19,True,1,23,2.78084971
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step48,18,18,True,1,22,2.81663153
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step49,17,17,True,1,21,2.67331502
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step5,68,68,True,1,25,3.56240518
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step50,16,16,True,1,20,2.68244785
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step51,15,15,True,1,19,2.47628205
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step52,14,14,True,1,18,2.2089019
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step53,13,13,True,1,17,2.51418496
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step54,12,12,True,1,16,2.64165309
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step55,11,11,True,1,15,2.62451858
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step56,10,10,True,1,14,2.51357257
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step57,9,9,True,1,13,2.27765909
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step58,7,6,False,3,12,2.19303143
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step59,5,5,True,1,11,2.86257442
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step6,69,69,True,1,25,3.22402781
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step60,4,4,True,1,10,2.86581074
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step61,3,0,False,4,9,2.78313667
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step62,1,1,True,1,8,3.07703469
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step63,2,2,True,1,7,3.0187344
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step64,3,3,True,1,6,2.43524326
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step65,7,7,True,1,5,1.45536889
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step66,8,8,True,1,4,2.2254533
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step67,31,31,True,1,3,-2.22419877
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step68,33,33,True,1,2,2.50704198
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step69,34,34,True,1,1,2.43963674
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step7,62,52,False,3,25,0.42335108
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step8,51,51,True,1,25,4.30229255
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task1:step9,50,50,True,1,25,4.22532747
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step1,6,6,True,1,11,2.6038551
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step10,10,10,True,1,2,1.07715962
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step11,11,11,True,1,1,2.4563661
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step2,5,5,True,1,10,2.33791891
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step3,4,4,True,1,9,2.11664013
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step4,3,3,True,1,8,2.47543708
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step5,2,2,True,1,7,2.36541989
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step6,1,1,True,1,6,2.5602152
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step7,0,0,True,1,5,2.51480515
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step8,8,8,True,1,4,1.09482779
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task21:step9,9,9,True,1,3,2.56357601
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task22:step1,1,1,True,1,7,2.55110321
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task22:step2,0,0,True,1,6,2.56536845
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task22:step3,3,4,False,2,5,1.62806892
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task22:step4,5,5,True,1,4,2.71363403
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task22:step5,6,6,True,1,3,2.68407313
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task22:step6,7,7,True,1,2,2.62598266
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task22:step7,3,3,True,1,1,1.72520713
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task24:step1,1,1,True,1,6,2.88900132
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task24:step2,0,0,True,1,5,2.75785555
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task24:step3,3,3,True,1,4,2.2136345
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task24:step4,4,4,True,1,3,2.47974277
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task24:step5,5,5,True,1,2,2.61855397
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task24:step6,6,6,True,1,1,2.36164278
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task7:step1,3,3,True,1,3,2.41627511
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task7:step2,1,1,True,1,2,1.54788313
m2_1_globalrepair20_pair_006,m2_1_globalrepair20_pair_006:task7:step3,0,0,True,1,1,2.61111134
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task36:step1,3,3,True,1,8,2.50181584
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task36:step2,2,2,True,1,7,2.47782031
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task36:step3,1,1,True,1,6,2.50183475
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task36:step4,0,0,True,1,5,2.42024303
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task36:step5,5,5,True,1,4,1.52047244
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task36:step6,6,6,True,1,3,1.80437781
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task36:step7,7,8,False,2,2,2.23773902
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task36:step8,7,7,True,1,1,2.54693373
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task38:step1,6,6,True,1,10,3.02039653
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task38:step10,0,0,True,1,1,2.55604938
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task38:step2,8,8,True,1,9,2.65837216
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task38:step3,9,9,True,1,8,2.84971106
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task38:step4,10,10,True,1,7,2.36837927
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task38:step5,5,5,True,1,6,1.60116374
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task38:step6,4,4,True,1,5,2.78620718
m2_1_globalrepair20_pair_008,m2_1_globalrepair20_pair_008:task38:step7,3,3,True,1,4,2.66140095
